GAS,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"40,955","40,888","44,599","42,492","42,034"
I. Tiền và các khoản tương đương tiền,"6,706","7,589","7,375","5,933","4,476"
1. Tiền,"1,330","2,181","2,399","2,062","1,152"
2. Các khoản tương đương tiền,"5,375","5,408","4,976","3,872","3,324"
II.  Đầu tư tài chính ngắn hạn,"21,602","19,845","24,019","22,599","24,915"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"21,602","19,845","24,019","22,599","24,915"
III. Các khoản phải thu ngắn hạn,"10,232","11,513","11,164","11,709","10,562"
1. Phải thu ngắn hạn của khách hàng,"4,657","5,196","3,907","5,126","4,673"
2. Trả trước cho người bán ngắn hạn,91,89,109,613,830
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,"5,773","6,515","7,443","6,267","5,371"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-290,-289,-297,-298,-312
8. Tài sản thiếu chờ xử lý,1,1,1,1,1
IV. Hàng tồn kho,"1,952","1,522","1,486","1,760","1,592"
1. Hàng tồn kho,"2,022","1,592","1,573","1,830","1,662"
2. Dự phòng giảm giá hàng tồn kho (*),-70,-70,-87,-70,-71
V. Tài sản ngắn hạn khác,462,419,555,491,489
1. Chi phí trả trước ngắn hạn,104,99,191,144,87
2. Thuế GTGT được khấu trừ,300,271,321,316,368
3. Thuế và các khoản khác phải thu của nhà nước,58,49,42,31,34
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,0,,,,
B. TÀI SẢN DÀI HẠN,"21,624","21,121","20,600","20,065","20,220"
I. Các khoản phải thu dài hạn,217,111,120,112,128
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,68,66,71,69,79
