GVR,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"24,434","23,315","22,406","22,559","23,731"
I. Tiền và các khoản tương đương tiền,"5,140","4,164","3,577","4,142","5,534"
1. Tiền,"1,786","2,485","1,579","1,792","2,354"
2. Các khoản tương đương tiền,"3,353","1,679","1,998","2,350","3,180"
II.  Đầu tư tài chính ngắn hạn,"10,427","11,318","11,013","10,889","10,770"
1. Chứng khoán kinh doanh,1,1,1,1,1
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,0,0,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,"10,425","11,317","11,012","10,887","10,769"
III. Các khoản phải thu ngắn hạn,"2,628","2,942","2,766","2,574","2,837"
1. Phải thu ngắn hạn của khách hàng,"1,075","1,428","1,185",936,"1,190"
2. Trả trước cho người bán ngắn hạn,603,529,573,710,572
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,11,11,11,11,10
6. Phải thu ngắn hạn khác,"1,105","1,147","1,187","1,102","1,242"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-198,-204,-226,-223,-216
8. Tài sản thiếu chờ xử lý,32,32,38,38,39
IV. Hàng tồn kho,"5,447","4,003","4,024","3,891","3,672"
1. Hàng tồn kho,"5,485","4,084","4,110","3,937","3,705"
2. Dự phòng giảm giá hàng tồn kho (*),-37,-81,-87,-46,-32
V. Tài sản ngắn hạn khác,792,887,"1,027","1,064",917
1. Chi phí trả trước ngắn hạn,62,102,103,181,59
2. Thuế GTGT được khấu trừ,499,556,525,517,541
3. Thuế và các khoản khác phải thu của nhà nước,231,228,399,366,317
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"55,153","54,749","54,637","54,058","54,066"
I. Các khoản phải thu dài hạn,511,513,607,569,571
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,3,3,1,1,2
3. Vốn kinh doanh ở các đơn vị trực thuộc,,0,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,824,811,777,777,773
6. Phải thu dài hạn khác,241,249,249,210,215
7. Dự phòng phải thu dài hạn khó đòi (*),-557,-550,-419,-418,-418
II. Tài sản cố định,"33,653","33,952","34,466","34,086","33,963"
1. Tài sản cố định hữu hình,"33,534","33,834","34,348","33,970","33,850"
- Nguyên giá,"51,431","52,290","53,276","53,300","53,761"
