HDB,Q1/2014,Q1/2015,Q2/2015,Q3/2015,Q1/2016
Giai đoạn,01/01-31/03,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",609,,,,"1,393"
II. Tiền gửi tại NHNN,596,,,,946
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","6,444",,,,"15,502"
"1. Tiền, vàng gửi tại các TCTD khác","4,986",,,,"12,119"
2. Cho vay các TCTD khác,"1,478",,,,"3,389"
3. Dự phòng rủi ro cho vay các TCTD khác,-20,,,,-6
IV. Chứng khoán kinh doanh,918,,,,986
1. Chứng khoán kinh doanh,919,,,,995
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,,,,-9
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,10,,,,1
VI. Cho vay khách hàng,"31,465",,,,"65,556"
1. Cho vay và cho thuê tài chính khách hàng,"32,150",,,,"66,343"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-686,,,,-787
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"20,923",,,,"22,354"
1. Chứng khoán đầu tư sẵn sàng để bán,"20,054",,,,"17,927"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,055",,,,"4,966"
3. Dự phòng giảm giá chứng khoán đầu tư,-187,,,,-539
"VIII. Góp vốn, đầu tư dài hạn",90,,,,440
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,132,,,,551
4. Dự phòng giảm giá đầu tư dài hạn,-42,,,,-111
IX. Tài sản cố định,588,,,,780
1. Tài sản cố định hữu hình,369,,,,508
a. Nguyên giá TSCĐ,633,,,,923
b. Hao mòn TSCĐ,-265,,,,-416
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,219,,,,272
a. Nguyên giá TSCĐ,307,,,,416
b. Hao mòn TSCĐ,-87,,,,-144
X. Bất động sản đầu tư,,,,,62
a. Nguyên giá BĐSĐT,,,,,63
b. Hao mòn BĐSĐT,,,,,0
"XI. Tài sản ""Có"" khác","14,639",,,,"10,930"
1. Các khoản phải thu,"11,581",,,,"6,617"
"2. Các khoản lãi, phí phải thu","1,701",,,,"2,297"
3. Tài sản thuế TNDN hoãn lại,21,,,,24
4. Tài sản Có khác,"1,353",,,,"2,036"
- Trong đó: Lợi thế thương mại,110,,,,44
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-19,,,,-43
TỔNG CỘNG TÀI SẢN,"76,280",,,,"118,950"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,186,,,,261
II. Tiền gửi và vay các TCTD khác,"7,646",,,,"8,095"
1. Tiền gửi của các TCTD khác,"4,905",,,,"4,560"
2. Vay các TCTD khác,"2,741",,,,"3,535"
III. Tiền gửi của khách hàng,"55,477",,,,"86,086"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",59,,,,"2,818"
VI. Phát hành giấy tờ có giá,"2,505",,,,"9,097"
VII. Các khoản nợ khác,"1,779",,,,"2,494"
"1. Các khoản lãi, phí phải trả","1,121",,,,"1,901"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,644,,,,593
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),14,,,,
TỔNG NỢ PHẢI TRẢ,"67,653",,,,"108,851"
VIII. Vốn và các quỹ,"8,627",,,,"10,099"
1. Vốn của TCTD,"8,105",,,,"8,105"
a. Vốn điều lệ,"8,100",,,,"8,100"
b. Vốn đầu tư XDCB,0,,,,0
c. Thặng dư vốn cổ phần,5,,,,5
d. Cổ phiếu quỹ,0,,,,0
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,210,,,,378
3. Chênh lệch tỷ giá hối đoái,6,,,,-13
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,307,,,,"1,144"
6. Lợi ích cổ đông không kiểm soát,,,,,485
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"76,280",,,,"118,950"
