HPG,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"3,821","4,038","3,700","4,118","5,413"
I. Tiền và các khoản tương đương tiền,523,423,602,"1,234","1,480"
1. Tiền,523,247,228,136,"1,480"
2. Các khoản tương đương tiền,0,176,374,"1,098",0
II.  Đầu tư tài chính ngắn hạn,721,733,625,128,146
1. Chứng khoán kinh doanh,721,733,625,128,146
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,0,0,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,761,875,861,922,893
1. Phải thu ngắn hạn của khách hàng,761,396,490,533,893
2. Trả trước cho người bán ngắn hạn,0,450,230,278,0
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,0,36,149,119,0
7. Dự phòng phải thu ngắn hạn khó đòi (*),0,-7,-7,-8,0
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,756","1,880","1,453","1,656","2,552"
1. Hàng tồn kho,"1,756","1,949","1,487","1,685","2,552"
2. Dự phòng giảm giá hàng tồn kho (*),0,-69,-34,-30,0
V. Tài sản ngắn hạn khác,60,127,159,178,341
1. Chi phí trả trước ngắn hạn,60,13,16,13,341
2. Thuế GTGT được khấu trừ,0,75,65,51,0
3. Thuế và các khoản khác phải thu của nhà nước,0,1,2,2,0
4. Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,0,38,76,113,0
B. TÀI SẢN DÀI HẠN,"1,793","1,953","3,979","4,278","4,834"
I. Các khoản phải thu dài hạn,27,0,0,0,0
1. Phải thu dài hạn của khách hàng,27,0,0,0,0
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu nội bộ dài hạn,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
