LPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,600","2,282","2,232","3,499","1,860"
II. Tiền gửi tại NHNN,"3,353","1,881","1,937","6,759","1,984"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","9,064","10,817","3,124","13,959","18,116"
"1. Tiền, vàng gửi tại các TCTD khác","7,664","9,917","2,624","13,543","15,741"
2. Cho vay các TCTD khác,"1,400",900,500,416,"2,375"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,278,279,277
1. Chứng khoán kinh doanh,,,278,279,277
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,108,187,216,218,216
VI. Cho vay khách hàng,"142,800","150,500","157,237","174,356","180,264"
1. Cho vay và cho thuê tài chính khách hàng,"144,512","152,324","159,149","176,622","182,739"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,712","-1,824","-1,912","-2,265","-2,475"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"36,089","37,910","36,235","33,360","31,805"
1. Chứng khoán đầu tư sẵn sàng để bán,"36,138","38,114","36,439","33,374","31,819"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,359,,,,
3. Dự phòng giảm giá chứng khoán đầu tư,-407,-204,-204,-14,-14
"VIII. Góp vốn, đầu tư dài hạn",325,316,316,316,316
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,325,316,316,316,316
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,475","1,493","1,542","1,621","1,589"
1. Tài sản cố định hữu hình,"1,010","1,028","1,063","1,147","1,121"
a. Nguyên giá TSCĐ,"2,148","2,201","2,278","2,409","2,436"
b. Hao mòn TSCĐ,"-1,138","-1,173","-1,215","-1,262","-1,315"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,464,465,479,474,467
a. Nguyên giá TSCĐ,596,603,624,625,626
b. Hao mòn TSCĐ,-132,-138,-145,-152,-158
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","8,116","8,344","8,861","7,975","8,782"
1. Các khoản phải thu,"2,543","2,485","1,764",837,"1,287"
"2. Các khoản lãi, phí phải thu","4,980","5,320","6,024","6,046","6,224"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,594,539,"1,073","1,095","1,274"
- Trong đó: Lợi thế thương mại,87,69,52,34,-17
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,-3,-3
TỔNG CỘNG TÀI SẢN,"202,930","213,729","211,978","242,343","245,208"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,279,264,246,224,210
II. Tiền gửi và vay các TCTD khác,"10,416","27,523","7,732","14,745","17,312"
1. Tiền gửi của các TCTD khác,"7,745","21,864","4,890","12,018","13,895"
2. Vay các TCTD khác,"2,671","5,659","2,842","2,727","3,417"
III. Tiền gửi của khách hàng,"144,001","143,918","154,611","174,526","176,179"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","1,179",,,,
VI. Phát hành giấy tờ có giá,"28,147","22,822","29,396","32,251","30,117"
VII. Các khoản nợ khác,"5,843","6,027","6,227","6,365","6,282"
"1. Các khoản lãi, phí phải trả","4,554","4,830","4,733","5,086","4,481"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,289","1,198","1,494","1,279","1,802"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"189,865","200,553","198,213","228,111","230,100"
VIII. Vốn và các quỹ,"13,065","13,176","13,765","14,232","15,109"
1. Vốn của TCTD,"9,770","9,770","9,770","10,746","10,746"
a. Vốn điều lệ,"9,769","9,769","9,769","10,746","10,746"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,0,0,0,0,0
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"1,473","1,473","1,473","1,753","1,753"
3. Chênh lệch tỷ giá hối đoái,,,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,823","1,933","2,522","1,733","2,610"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"202,930","213,729","211,978","242,343","245,208"
