MBB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,052","1,842","2,048","1,946","1,919"
II. Tiền gửi tại NHNN,"7,412","6,684","4,827","6,867","8,988"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","36,697","53,497","37,658","48,794","44,647"
"1. Tiền, vàng gửi tại các TCTD khác","36,697","38,765","37,658","48,794","30,623"
2. Cho vay các TCTD khác,,"14,928",0,0,"14,221"
3. Dự phòng rủi ro cho vay các TCTD khác,,-196,0,0,-196
IV. Chứng khoán kinh doanh,707,"2,805","3,411","3,513",905
1. Chứng khoán kinh doanh,728,"2,840","3,462","3,605",953
2. Dự phòng giảm giá chứng khoán kinh doanh,-21,-35,-51,-92,-48
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,78,122,147,0,0
VI. Cho vay khách hàng,"174,207","182,062","191,262","202,027","201,475"
1. Cho vay và cho thuê tài chính khách hàng,"176,245","184,188","193,746","204,829","204,885"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,038","-2,126","-2,484","-2,802","-3,410"
VII. Hoạt động mua nợ,,0,0,0,0
1. Mua nợ,,0,0,0,0
2. Dự phòng rủi ro hoạt động mua nợ,,0,0,0,0
VII. Chứng khoán đầu tư,"52,718","50,677","51,338","52,504","64,526"
1. Chứng khoán đầu tư sẵn sàng để bán,"42,723","43,092","47,298","48,725","58,934"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"11,152","7,945","4,373","4,158","6,037"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,157",-360,-334,-379,-445
"VIII. Góp vốn, đầu tư dài hạn","1,470",985,"1,238","1,202",766
1. Đầu tư vào công ty con,,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",50,50,50,48,33
3. Đầu tư dài hạn khác,"1,551","1,064","1,311","1,287",866
4. Dự phòng giảm giá đầu tư dài hạn,-130,-130,-123,-133,-133
IX. Tài sản cố định,"2,573","2,604","2,571","2,538","2,617"
1. Tài sản cố định hữu hình,"1,542","1,587","1,552","1,519","1,583"
a. Nguyên giá TSCĐ,"3,065","3,083","3,105","3,092","3,219"
b. Hao mòn TSCĐ,"-1,522","-1,496","-1,553","-1,574","-1,635"
2. Tài sản cố định thuê tài chính,,0,0,0,0
a. Nguyên giá TSCĐ,,0,0,0,0
b. Hao mòn TSCĐ,,0,0,0,0
3. Tài sản cố định vô hình,"1,031","1,018","1,019","1,019","1,033"
a. Nguyên giá TSCĐ,"1,580","1,603","1,630","1,662","1,710"
b. Hao mòn TSCĐ,-550,-585,-611,-642,-677
