MSN,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"12,500","12,298","14,369","19,179","24,262"
I. Tiền và các khoản tương đương tiền,"4,586","3,083","4,814","7,359","6,801"
1. Tiền,514,368,450,394,"1,928"
2. Các khoản tương đương tiền,"4,072","2,715","4,364","6,966","4,872"
II.  Đầu tư tài chính ngắn hạn,376,383,142,404,784
1. Chứng khoán kinh doanh,,,37,142,472
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,376,383,106,262,312
III. Các khoản phải thu ngắn hạn,"2,413","2,147","2,261","4,188","5,418"
1. Phải thu ngắn hạn của khách hàng,"1,523","1,022","1,398","1,355","1,241"
2. Trả trước cho người bán ngắn hạn,707,773,827,997,"1,529"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,350,,,
6. Phải thu ngắn hạn khác,288,114,148,"1,948","2,754"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-106,-112,-112,-112,-106
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"4,333","5,625","6,001","6,003","9,622"
1. Hàng tồn kho,"4,390","5,668","6,056","6,057","9,691"
2. Dự phòng giảm giá hàng tồn kho (*),-56,-43,-55,-54,-69
V. Tài sản ngắn hạn khác,792,"1,060","1,151","1,226","1,637"
1. Chi phí trả trước ngắn hạn,94,146,148,141,261
2. Thuế GTGT được khấu trừ,675,893,982,"1,063","1,352"
3. Thuế và các khoản khác phải thu của nhà nước,23,21,21,22,24
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"52,079","52,764","53,653","53,229","73,035"
I. Các khoản phải thu dài hạn,"1,377","1,385","1,374","1,355","1,600"
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
