MWG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,EY,,,
Ý kiến kiểm toán,,Chấp nhận toàn phần,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"23,390","25,629","27,618","26,687","35,012"
I. Tiền và các khoản tương đương tiền,"3,750","2,839","3,293","3,697","3,177"
1. Tiền,"3,364","2,791","2,943","2,672","2,024"
2. Các khoản tương đương tiền,386,48,350,"1,025","1,153"
II.  Đầu tư tài chính ngắn hạn,51,"3,830","6,133","4,275","3,075"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,51,"3,830","6,133","4,275","3,075"
III. Các khoản phải thu ngắn hạn,"1,560","1,919","1,310","1,247","1,815"
1. Phải thu ngắn hạn của khách hàng,380,416,486,213,262
2. Trả trước cho người bán ngắn hạn,21,75,145,193,188
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,"1,159","1,429",678,841,"1,365"
7. Dự phòng phải thu ngắn hạn khó đòi (*),,,,,
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"17,446","16,613","16,424","16,990","25,745"
1. Hàng tồn kho,"17,821","16,952","16,741","17,387","26,196"
2. Dự phòng giảm giá hàng tồn kho (*),-375,-340,-317,-397,-451
V. Tài sản ngắn hạn khác,583,428,458,477,"1,199"
1. Chi phí trả trước ngắn hạn,283,290,338,379,487
2. Thuế GTGT được khấu trừ,298,137,82,84,709
3. Thuế và các khoản khác phải thu của nhà nước,2,2,37,14,3
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"4,751","4,776","5,149","5,667","6,696"
I. Các khoản phải thu dài hạn,314,317,331,352,375
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
