PLX,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"36,726","44,739","44,002","44,439","36,639"
I. Tiền và các khoản tương đương tiền,"6,125","8,045","7,958","6,499","9,791"
1. Tiền,"3,518","3,691","3,376","2,237","4,884"
2. Các khoản tương đương tiền,"2,607","4,354","4,582","4,262","4,908"
II.  Đầu tư tài chính ngắn hạn,"1,527","1,208","1,394","1,808","2,096"
1. Chứng khoán kinh doanh,"1,552","1,234","1,421","1,834","2,125"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-25,-27,-26,-26,-29
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"11,777","13,757","13,665","12,656","12,420"
1. Phải thu ngắn hạn của khách hàng,"7,800","9,675","10,651","10,727","9,896"
2. Trả trước cho người bán ngắn hạn,273,372,461,429,449
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,"3,936","3,957","2,857","1,827","2,443"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-232,-246,-304,-328,-367
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"15,359","18,936","17,869","21,104","10,012"
1. Hàng tồn kho,"15,378","18,949","17,889","21,249","10,038"
2. Dự phòng giảm giá hàng tồn kho (*),-19,-13,-21,-145,-26
V. Tài sản ngắn hạn khác,"1,940","2,793","3,116","2,372","2,319"
1. Chi phí trả trước ngắn hạn,79,78,139,139,329
2. Thuế GTGT được khấu trừ,"1,198","1,465","1,260",751,319
3. Thuế và các khoản khác phải thu của nhà nước,477,507,565,250,183
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,186,743,"1,152","1,232","1,488"
B. TÀI SẢN DÀI HẠN,"20,708","20,525","20,100","20,342","20,694"
I. Các khoản phải thu dài hạn,0,8,9,0,0
1. Phải thu dài hạn của khách hàng,0,0,0,0,0
