SAB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"13,791","13,894","10,769","10,422","11,916"
I. Tiền và các khoản tương đương tiền,"9,392","6,814","3,555","4,081","5,092"
1. Tiền,"1,075","1,058","1,238","1,443","1,054"
2. Các khoản tương đương tiền,"8,318","5,756","2,317","2,637","4,038"
II.  Đầu tư tài chính ngắn hạn,"1,404","3,293","3,064","2,566","3,378"
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"1,404","3,293","3,064","2,566","3,378"
III. Các khoản phải thu ngắn hạn,"1,124","1,530","1,214",885,982
1. Phải thu ngắn hạn của khách hàng,508,640,563,274,252
2. Trả trước cho người bán ngắn hạn,154,208,196,207,201
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,491,706,481,434,561
7. Dự phòng phải thu ngắn hạn khó đòi (*),-50,-44,-45,-50,-51
8. Tài sản thiếu chờ xử lý,20,20,20,20,20
IV. Hàng tồn kho,"1,749","2,121","2,116","2,205","2,025"
1. Hàng tồn kho,"1,793","2,164","2,174","2,251","2,070"
2. Dự phòng giảm giá hàng tồn kho (*),-44,-44,-58,-46,-45
V. Tài sản ngắn hạn khác,122,137,820,685,439
1. Chi phí trả trước ngắn hạn,80,69,88,74,58
2. Thuế GTGT được khấu trừ,30,55,134,111,93
3. Thuế và các khoản khác phải thu của nhà nước,12,12,598,500,288
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"8,997","8,810","8,491","8,332","8,140"
I. Các khoản phải thu dài hạn,41,35,54,37,39
1. Phải thu dài hạn của khách hàng,4,,6,5,5
2. Trả trước cho người bán dài hạn,,,6,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,4,4,4,4
6. Phải thu dài hạn khác,49,43,50,45,48
7. Dự phòng phải thu dài hạn khó đòi (*),-12,-12,-12,-17,-17
II. Tài sản cố định,"5,601","5,480","5,460","5,329","5,206"
1. Tài sản cố định hữu hình,"4,617","4,498","4,475","4,348","4,238"
- Nguyên giá,"9,077","9,037","9,161","9,186","9,225"
- Giá trị hao mòn lũy kế (*),"-4,461","-4,539","-4,686","-4,838","-4,986"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,984,981,985,981,968
- Nguyên giá,"1,093","1,092","1,099","1,099","1,086"
- Giá trị hao mòn lũy kế (*),-109,-111,-114,-117,-119
III. Bất động sản đầu tư,68,67,66,66,65
- Nguyên giá,95,95,95,95,95
- Giá trị hao mòn lũy kế (*),-27,-28,-28,-29,-30
IV. Tài sản dở dang dài hạn,91,100,77,100,107
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,91,100,77,100,107
V. Đầu tư tài chính dài hạn,"2,156","1,819","1,968","1,932","1,874"
1. Đầu tư vào công ty con,,,,,
