SHB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",541,618,622,769,801
II. Tiền gửi tại NHNN,"1,818","1,113",942,"1,473","3,322"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","30,312","11,352","18,040","24,991","29,520"
"1. Tiền, vàng gửi tại các TCTD khác","17,790","8,287","15,764","22,577","24,870"
2. Cho vay các TCTD khác,"12,636","3,065","2,276","2,414","4,650"
3. Dự phòng rủi ro cho vay các TCTD khác,-113,,,,
IV. Chứng khoán kinh doanh,29,77,65,33,32
1. Chứng khoán kinh doanh,52,94,90,48,51
2. Dự phòng giảm giá chứng khoán kinh doanh,-23,-18,-25,-15,-19
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,7,11,7,19
VI. Cho vay khách hàng,"75,184","81,355","90,199","94,789","102,890"
1. Cho vay và cho thuê tài chính khách hàng,"76,482","82,304","91,479","96,100","104,094"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,298",-949,"-1,281","-1,310","-1,204"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"18,655","15,763","12,716","13,032","13,665"
1. Chứng khoán đầu tư sẵn sàng để bán,"8,102","7,019","6,486","6,169","5,795"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"10,562","8,751","6,322","7,037","8,043"
3. Dự phòng giảm giá chứng khoán đầu tư,-9,-7,-92,-174,-174
"VIII. Góp vốn, đầu tư dài hạn",359,320,322,287,301
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,32,,,
3. Đầu tư dài hạn khác,411,347,379,345,342
4. Dự phòng giảm giá đầu tư dài hạn,-52,-59,-58,-58,-41
IX. Tài sản cố định,"4,150","4,141","4,130","4,114","4,105"
1. Tài sản cố định hữu hình,405,389,387,378,383
a. Nguyên giá TSCĐ,723,728,746,758,778
b. Hao mòn TSCĐ,-318,-339,-360,-380,-395
