SSB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",973,"1,090","1,008","1,012","1,075"
II. Tiền gửi tại NHNN,"1,552","2,009","4,475","3,374","1,276"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","16,691","25,603","25,985","25,741","30,883"
"1. Tiền, vàng gửi tại các TCTD khác","16,250","25,498","25,985","25,641","28,583"
2. Cho vay các TCTD khác,441,104,,100,"2,301"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"2,105","3,430","3,930","2,694","6,390"
1. Chứng khoán kinh doanh,"2,153","3,473","3,961","2,706","6,400"
2. Dự phòng giảm giá chứng khoán kinh doanh,-48,-43,-31,-12,-11
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,232,214,145,63
VI. Cho vay khách hàng,"96,205","96,998","96,736","107,761","109,786"
1. Cho vay và cho thuê tài chính khách hàng,"97,137","98,004","97,871","108,869","111,050"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-932,"-1,005","-1,135","-1,108","-1,264"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"22,409","23,829","26,660","32,180","25,679"
1. Chứng khoán đầu tư sẵn sàng để bán,"22,123","23,543","26,379","31,901","25,400"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,319,319,319,319,319
3. Dự phòng giảm giá chứng khoán đầu tư,-33,-33,-38,-40,-40
"VIII. Góp vốn, đầu tư dài hạn",121,114,105,103,103
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,148,141,132,132,132
