SSI,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"42,024","48,732","49,185","46,622","51,842"
I. Tài sản tài chính ngắn hạn,"41,874","48,622","49,047","46,484","51,715"
1. Tiền và các khoản tương đương tiền,616,"1,418",143,155,411
1.1. Tiền,518,907,139,147,182
1.2. Các khoản tương đương tiền,98,511,4,8,229
Các khoản đầu tư tài chính ngắn hạn,,,0,,
+Đầu tư ngắn hạn,,,0,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,,,0,,
Dự phòng giảm giá đầu tư ngắn hạn,,,0,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),"21,297","30,493","31,189","26,529","29,591"
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),"3,234","3,508","4,617","4,169","4,275"
4. Các khoản cho vay,"15,593","11,057","11,118","13,439","15,269"
5. Các tài sản tài chính sẵn sàn để bán (AFS),266,382,409,726,831
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-62,-37,-37,-37,-37
7. Các khoản phải thu ngắn hạn,357,416,538,496,472
7.1. Phải thu bán các tài sản tài chính,243,270,244,245,270
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",114,146,294,252,203
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",,,0,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được",,,0,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",114,146,294,252,203
Trả trước cho người bán,549,"1,413","1,105","1,042",932
9. Phải thu các dịch vụ CTCK cung cấp,38,20,20,28,40
Phải thu hoạt động giao dịch chứng khoán,,,0,,
10. Phải thu nội bộ ngắn hạn,,,0,,
11. Phải thu về lỗi giao dịch chứng khoán,,,0,,
12. Các khoản phải thu khác,228,185,179,168,163
13. Dự phòng suy giảm giá trị các khoản phải thu,-241,-232,-232,-232,-232
Dự phòng các khoản phải thu ngắn hạn khó đòi,,,0,,
Phải thu khách hàng,,,0,,
Hàng tồn kho,,,0,,
Hàng tồn kho (chi tiết),,,0,,
Dự phòng giảm giá hàng tồn kho,,,0,,
II. Tài sản ngắn hạn khác,150,110,137,139,126
1. Tạm ứng,30,28,32,38,36
"2. Vật tư văn phòng, công cụ, dụng cụ",4,4,4,3,2
3. Chi phí trả trước ngắn hạn,77,74,76,76,80
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",1,0,0,0,0
8. Thuế GTGT còn được khấu trừ,0,,1,2,
Thuế và các khoản khác phải thu của nhà nước,,1,0,0,
