STB,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,063","6,090","6,191","6,586","7,296"
II. Tiền gửi tại NHNN,"4,166","6,130","8,621","7,497","7,612"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","4,339","4,870","4,665","2,208","9,440"
"1. Tiền, vàng gửi tại các TCTD khác","3,229","4,465","4,665","2,208","9,158"
2. Cho vay các TCTD khác,"1,110",405,1,1,283
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,-1,-1,-1
IV. Chứng khoán kinh doanh,"8,840","12,195","5,213",95,"1,294"
1. Chứng khoán kinh doanh,"8,892","12,248","5,267",125,"1,325"
2. Dự phòng giảm giá chứng khoán kinh doanh,-53,-53,-54,-30,-31
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,20,,,
VI. Cho vay khách hàng,"132,529","139,121","144,122","183,630","188,365"
1. Cho vay và cho thuê tài chính khách hàng,"133,987","140,707","145,774","185,917","190,701"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-1,459","-1,586","-1,652","-2,287","-2,336"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,0
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,0
VII. Chứng khoán đầu tư,"26,782","26,944","28,302","39,713","40,171"
1. Chứng khoán đầu tư sẵn sàng để bán,"21,355","20,487","21,375","25,109","25,666"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"5,929","7,236","8,019","16,145","16,039"
3. Dự phòng giảm giá chứng khoán đầu tư,-502,-779,"-1,093","-1,541","-1,534"
"VIII. Góp vốn, đầu tư dài hạn",264,278,332,327,309
1. Đầu tư vào công ty con,0,0,54,,
