TCB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,621","3,665","3,638","3,609","3,385"
II. Tiền gửi tại NHNN,"27,141","13,588","28,055","40,615","54,353"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","104,072","89,075","88,904","90,014","84,590"
"1. Tiền, vàng gửi tại các TCTD khác","80,127","72,792","77,099","80,587","74,887"
2. Cho vay các TCTD khác,"24,047","16,384","11,910","9,608","9,885"
3. Dự phòng rủi ro cho vay các TCTD khác,-101,-101,-105,-180,-181
IV. Chứng khoán kinh doanh,"4,433","8,968","4,143","4,524","9,001"
1. Chứng khoán kinh doanh,"4,433","8,968","4,143","4,524","9,001"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,144,729,170,269,
VI. Cho vay khách hàng,"512,514","552,577","584,713","617,925","623,634"
1. Cho vay và cho thuê tài chính khách hàng,"518,642","559,277","592,083","626,291","631,725"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-6,128","-6,700","-7,370","-8,366","-8,091"
VII. Hoạt động mua nợ,82,82,320,315,142
1. Mua nợ,84,84,324,319,144
2. Dự phòng rủi ro hoạt động mua nợ,-2,-2,-4,-4,-3
VII. Chứng khoán đầu tư,"104,994","131,189","113,677","102,135","148,624"
1. Chứng khoán đầu tư sẵn sàng để bán,"105,356","131,568","114,076","97,063","142,203"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,"5,400","6,900"
3. Dự phòng giảm giá chứng khoán đầu tư,-362,-379,-399,-328,-479
"VIII. Góp vốn, đầu tư dài hạn","3,046","3,046","3,048","3,048","3,103"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,"3,047","3,047","3,049","3,049","3,104"
4. Dự phòng giảm giá đầu tư dài hạn,-1,-1,-1,-1,-1
IX. Tài sản cố định,"8,893","9,259","9,627","12,752","12,467"
