TPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,332","1,315","1,937","1,567","1,655"
II. Tiền gửi tại NHNN,"4,693","4,912","5,395","6,088","7,761"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","16,341","19,121","17,084","21,379","21,024"
"1. Tiền, vàng gửi tại các TCTD khác","15,681","18,461","17,084","21,279","19,261"
2. Cho vay các TCTD khác,660,660,,100,"1,763"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,21,56,87,13
VI. Cho vay khách hàng,"76,295","83,680","87,837","91,828","94,435"
1. Cho vay và cho thuê tài chính khách hàng,"77,185","84,724","88,957","92,954","95,644"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-890,"-1,044","-1,120","-1,126","-1,208"
VII. Hoạt động mua nợ,"1,265","1,187","1,015",903,"1,041"
1. Mua nợ,"1,274","1,197","1,023",909,"1,051"
2. Dự phòng rủi ro hoạt động mua nợ,-8,-10,-8,-6,-9
VII. Chứng khoán đầu tư,"24,900","20,973","24,128","19,883","26,075"
1. Chứng khoán đầu tư sẵn sàng để bán,"24,641","20,738","24,127","19,942","26,139"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,801,801,471,45,45
3. Dự phòng giảm giá chứng khoán đầu tư,-543,-567,-471,-104,-109
"VIII. Góp vốn, đầu tư dài hạn",,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,300,358,332,412,571
1. Tài sản cố định hữu hình,203,256,239,272,369
a. Nguyên giá TSCĐ,441,517,519,577,698
b. Hao mòn TSCĐ,-238,-261,-280,-305,-329
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,97,102,93,140,202
a. Nguyên giá TSCĐ,212,230,230,291,371
b. Hao mòn TSCĐ,-115,-128,-137,-152,-169
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","11,054","8,377","7,932","11,784","12,019"
1. Các khoản phải thu,"8,030","4,670","4,888","7,500","9,223"
"2. Các khoản lãi, phí phải thu","1,339","1,169","1,390","1,386","1,311"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"1,685","2,538","1,654","2,898","1,500"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,,,,-15
TỔNG CỘNG TÀI SẢN,"136,179","139,944","145,716","153,930","164,594"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"4,752",925,"1,605",857,828
II. Tiền gửi và vay các TCTD khác,"33,491","36,198","35,516","39,160","40,214"
1. Tiền gửi của các TCTD khác,"18,654","22,891","22,889","28,694","28,948"
2. Vay các TCTD khác,"14,838","13,307","12,627","10,465","11,266"
III. Tiền gửi của khách hàng,"76,138","77,913","80,874","85,596","92,439"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,109,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",247,254,480,695,706
VI. Phát hành giấy tờ có giá,"8,715","10,954","13,093","13,041","14,426"
VII. Các khoản nợ khác,"2,085","2,358","2,868","2,673","2,905"
"1. Các khoản lãi, phí phải trả","1,341","1,371","1,442","1,756","2,035"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,743,988,"1,425",917,871
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"125,537","128,602","134,434","142,021","151,519"
VIII. Vốn và các quỹ,"10,642","11,342","11,282","11,909","13,075"
1. Vốn của TCTD,"8,510","8,510","7,883","7,883","7,883"
a. Vốn điều lệ,"8,566","8,566","8,566","8,566","8,566"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,0,0,0,0,0
d. Cổ phiếu quỹ,-55,-55,-683,-683,-683
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,305,305,576,576,576
3. Chênh lệch tỷ giá hối đoái,,39,,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,826","2,488","2,823","3,450","4,616"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"136,179","139,944","145,716","153,930","164,594"
