VCB,Q1/2009,Q2/2009,Q3/2009,Q4/2009,Q1/2010
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,KPMG,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,512","3,244","3,559","4,485","4,317"
II. Tiền gửi tại NHNN,"27,925","4,318","20,461","25,175","12,803"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","25,216","30,589","18,665","47,453","33,283"
"1. Tiền, vàng gửi tại các TCTD khác","23,971","29,410","16,742","46,481","32,059"
2. Cho vay các TCTD khác,"1,254","1,188","1,937",982,"1,235"
3. Dự phòng rủi ro cho vay các TCTD khác,-9,-9,-15,-11,-11
IV. Chứng khoán kinh doanh,256,145,,6,7
1. Chứng khoán kinh doanh,392,184,,6,7
2. Dự phòng giảm giá chứng khoán kinh doanh,-136,-39,,0,0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,0,,0,78
VI. Cho vay khách hàng,"113,136","126,595","132,557","137,455","146,446"
1. Cho vay và cho thuê tài chính khách hàng,"117,445","131,221","137,122","141,621","151,441"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,309","-4,626","-4,565","-4,167","-4,996"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"42,581","42,054","40,309","33,198","32,300"
1. Chứng khoán đầu tư sẵn sàng để bán,"30,666","27,867","27,746","21,413","20,521"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"12,140","14,401","12,634","11,872","12,205"
3. Dự phòng giảm giá chứng khoán đầu tư,-225,-214,-71,-87,-426
"VIII. Góp vốn, đầu tư dài hạn","2,997","2,965","3,832","3,553","3,688"
1. Đầu tư vào công ty con,0,0,"1,151",0,0
"2. Đầu tư vào công ty liên doanh, liên kết","1,215","1,244",966,"1,295","1,326"
3. Đầu tư dài hạn khác,"1,972","1,911","1,931","2,448","2,466"
4. Dự phòng giảm giá đầu tư dài hạn,-190,-190,-216,-191,-103
IX. Tài sản cố định,"1,287","1,259",974,"1,505","1,467"
1. Tài sản cố định hữu hình,975,956,687,"1,182","1,115"
a. Nguyên giá TSCĐ,"2,653","2,720","2,241","3,150","3,196"
b. Hao mòn TSCĐ,"-1,678","-1,764","-1,554","-1,969","-2,081"
2. Tài sản cố định thuê tài chính,0,0,,0,0
a. Nguyên giá TSCĐ,0,0,,2,2
b. Hao mòn TSCĐ,0,0,,-2,-2
3. Tài sản cố định vô hình,313,304,287,323,352
a. Nguyên giá TSCĐ,468,467,450,501,536
b. Hao mòn TSCĐ,-155,-163,-163,-177,-184
X. Bất động sản đầu tư,0,0,,0,0
a. Nguyên giá BĐSĐT,0,0,,0,0
b. Hao mòn BĐSĐT,0,0,,0,0
"XI. Tài sản ""Có"" khác","3,583","4,483","3,127","3,224","4,739"
1. Các khoản phải thu,"1,349","2,370","1,268","1,557","2,658"
"2. Các khoản lãi, phí phải thu","1,423","1,519","1,340","1,202","1,543"
3. Tài sản thuế TNDN hoãn lại,0,0,,0,0
4. Tài sản Có khác,812,594,519,465,538
- Trong đó: Lợi thế thương mại,0,0,,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,,0,0
TỔNG CỘNG TÀI SẢN,"220,493","215,652","223,484","256,053","239,127"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"5,104","5,845","9,817","22,960","10,966"
II. Tiền gửi và vay các TCTD khác,"34,820","21,495","27,607","38,369","31,392"
1. Tiền gửi của các TCTD khác,"33,124","19,725","25,058","31,153","26,756"
2. Vay các TCTD khác,"1,695","1,770","2,549","7,216","4,636"
III. Tiền gửi của khách hàng,"147,524","154,848","158,684","169,173","166,890"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,377,325,82,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","2,547","2,543",0,0,0
VI. Phát hành giấy tờ có giá,"2,438","2,793",743,386,307
VII. Các khoản nợ khác,"13,069","12,571","11,080","7,921","11,955"
"1. Các khoản lãi, phí phải trả","3,067","3,090","2,052","1,852","2,234"
2. Thuế TNDN hoãn lại phải trả,1,1,"8,270",0,0
3. Các khoản phải trả và công nợ khác,"9,290","8,760",,"5,229","8,881"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),711,719,757,840,840
TỔNG NỢ PHẢI TRẢ,"205,502","200,473","208,255","238,892","221,509"
VIII. Vốn và các quỹ,"14,884","15,081","15,228","17,052","17,497"
1. Vốn của TCTD,"12,177","12,177","12,101","12,163","12,146"
a. Vốn điều lệ,"12,101","12,101","12,101","12,101","12,101"
b. Vốn đầu tư XDCB,0,0,,0,0
c. Thặng dư vốn cổ phần,0,0,,0,0
d. Cổ phiếu quỹ,0,0,,0,0
e. Cổ phiếu ưu đãi,0,0,,0,0
g. Vốn khác,76,76,,62,45
2. Quỹ của TCTD,643,507,222,316,"1,000"
3. Chênh lệch tỷ giá hối đoái,129,132,211,132,170
4. Chênh lệch đánh giá lại tài sản,10,10,,10,10
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,924","2,254","2,695","4,430","4,171"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,108,98,,109,121
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"220,493","215,652","223,484","256,053","239,127"
