VHM,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"240,250","255,296","249,058","302,730","287,466"
I. Tiền và các khoản tương đương tiền,"14,104","9,525","17,180","20,621","28,991"
1. Tiền,"13,124","8,904","16,636","20,325","21,851"
2. Các khoản tương đương tiền,980,620,544,297,"7,139"
II.  Đầu tư tài chính ngắn hạn,"3,833","3,629","3,674","3,802","3,270"
1. Chứng khoán kinh doanh,,,,,"1,500"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"3,833","3,629","3,674","3,802","1,770"
III. Các khoản phải thu ngắn hạn,"126,607","152,937","137,014","187,109","171,858"
1. Phải thu ngắn hạn của khách hàng,"19,925","19,156","20,319","20,960","19,318"
2. Trả trước cho người bán ngắn hạn,"17,197","16,572","15,330","20,587","23,473"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,"4,945","17,774","1,468","10,504","17,220"
6. Phải thu ngắn hạn khác,"84,763","99,658","100,120","135,279","112,051"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-223,-223,-223,-220,-204
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"52,343","58,756","56,311","57,981","48,723"
1. Hàng tồn kho,"52,380","58,809","56,364","58,034","48,781"
2. Dự phòng giảm giá hàng tồn kho (*),-37,-52,-53,-53,-58
V. Tài sản ngắn hạn khác,"43,363","30,449","34,879","33,217","34,624"
1. Chi phí trả trước ngắn hạn,"1,444","1,869","2,400","2,160","1,175"
2. Thuế GTGT được khấu trừ,875,919,904,"1,211","1,224"
3. Thuế và các khoản khác phải thu của nhà nước,41,41,41,41,54
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"41,002","27,620","31,533","29,804","32,171"
B. TÀI SẢN DÀI HẠN,"207,111","209,189","245,403","221,954","273,258"
I. Các khoản phải thu dài hạn,"34,064","33,582","58,435","49,668","100,341"
