VIC,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"73,433","84,005","70,686","90,043","93,983"
I. Tiền và các khoản tương đương tiền,"4,585","9,653","9,971","13,700","9,704"
1. Tiền,"3,252","4,438","6,397","8,140","4,799"
2. Các khoản tương đương tiền,"1,333","5,215","3,574","5,560","4,905"
II.  Đầu tư tài chính ngắn hạn,"5,415","2,985",494,197,31
1. Chứng khoán kinh doanh,32,32,32,32,32
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-16,-15,-19,-18,-18
3. Đầu tư nắm giữ đến ngày đáo hạn,"5,398","2,968",481,182,17
III. Các khoản phải thu ngắn hạn,"19,718","23,108","20,887","17,639","21,144"
1. Phải thu ngắn hạn của khách hàng,"8,505","3,376","4,022","3,405","3,779"
2. Trả trước cho người bán ngắn hạn,"5,818","7,488","4,815","6,235","6,322"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,"1,589","4,101","6,229","2,874","7,112"
6. Phải thu ngắn hạn khác,"4,345","8,706","6,007","5,294","4,172"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-568,-563,-186,-169,-240
8. Tài sản thiếu chờ xử lý,29,,,,
IV. Hàng tồn kho,"30,995","37,732","32,045","50,760","53,605"
1. Hàng tồn kho,"31,144","37,871","32,134","50,842","53,648"
2. Dự phòng giảm giá hàng tồn kho (*),-149,-139,-89,-82,-43
V. Tài sản ngắn hạn khác,"12,719","10,527","7,289","7,748","9,499"
1. Chi phí trả trước ngắn hạn,"2,067","3,025","3,311","4,300","4,242"
2. Thuế GTGT được khấu trừ,"1,021",982,"1,057","1,216","1,080"
3. Thuế và các khoản khác phải thu của nhà nước,197,72,60,94,70
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"9,435","6,448","2,860","2,138","4,107"
B. TÀI SẢN DÀI HẠN,"85,900","89,229","109,119","97,212","98,807"
I. Các khoản phải thu dài hạn,"1,027",443,489,"1,721","1,554"
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,68,63,59,"1,151","1,155"
6. Phải thu dài hạn khác,960,380,430,569,400
7. Dự phòng phải thu dài hạn khó đòi (*),-1,,,,
II. Tài sản cố định,"22,501","23,602","25,116","26,504","26,834"
1. Tài sản cố định hữu hình,"21,757","22,724","24,302","25,688","26,149"
- Nguyên giá,"25,465","26,737","28,826","30,307","31,051"
- Giá trị hao mòn lũy kế (*),"-3,708","-4,012","-4,525","-4,620","-4,902"
2. Tài sản cố định thuê tài chính,,,,,
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,
3. Tài sản cố định vô hình,744,877,814,816,685
- Nguyên giá,963,"1,142","1,110","1,245","1,178"
- Giá trị hao mòn lũy kế (*),-219,-264,-296,-428,-493
III. Bất động sản đầu tư,"17,463","15,601","18,342","17,595","18,109"
- Nguyên giá,"19,203","17,410","20,312","19,623","20,405"
- Giá trị hao mòn lũy kế (*),"-1,739","-1,808","-1,970","-2,029","-2,296"
