VJC,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"40,400","31,048","33,805","36,840","33,867"
I. Tiền và các khoản tương đương tiền,"2,068","1,858","1,982","2,165","2,077"
1. Tiền,594,895,681,865,752
2. Các khoản tương đương tiền,"1,474",963,"1,301","1,300","1,324"
II.  Đầu tư tài chính ngắn hạn,4,688,510,529,559
1. Chứng khoán kinh doanh,,990,990,990,990
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,-490,-490,-471,-441
3. Đầu tư nắm giữ đến ngày đáo hạn,4,188,10,10,10
III. Các khoản phải thu ngắn hạn,"36,716","26,929","30,054","32,899","29,945"
1. Phải thu ngắn hạn của khách hàng,"17,449","14,253","12,537","12,098","11,581"
2. Trả trước cho người bán ngắn hạn,"2,484","2,064","3,005",896,898
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,662,657,657,657,657
6. Phải thu ngắn hạn khác,"16,121","9,954","13,855","19,247","16,809"
7. Dự phòng phải thu ngắn hạn khó đòi (*),,,,,
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,905,983,"1,028","1,040","1,116"
1. Hàng tồn kho,905,983,"1,028","1,040","1,116"
2. Dự phòng giảm giá hàng tồn kho (*),,,,,
V. Tài sản ngắn hạn khác,708,590,231,208,170
1. Chi phí trả trước ngắn hạn,572,440,161,174,134
2. Thuế GTGT được khấu trừ,135,150,53,12,14
3. Thuế và các khoản khác phải thu của nhà nước,,,17,22,22
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"27,070","36,099","35,472","34,656","42,672"
I. Các khoản phải thu dài hạn,"17,164","22,121","21,259","19,549","27,814"
1. Phải thu dài hạn của khách hàng,,,"3,865","3,861","3,977"
2. Trả trước cho người bán dài hạn,"1,123","1,133","1,133","2,812","4,842"
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,827,818,869,868,886
6. Phải thu dài hạn khác,"15,215","20,170","15,392","12,008","18,109"
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"2,024","5,827","6,020","5,923","5,841"
1. Tài sản cố định hữu hình,"1,104","5,799","5,609","5,524","5,455"
- Nguyên giá,"1,517","6,205","6,123","6,123","6,142"
- Giá trị hao mòn lũy kế (*),-412,-406,-514,-599,-687
