VNM,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Soát xét,Chưa kiểm toán,Soát xét
Công ty kiểm toán,KPMG,KPMG,KPMG,,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"26,462","30,073","31,541","29,666","32,835"
I. Tiền và các khoản tương đương tiền,"1,380","2,177","2,336","2,111","1,198"
1. Tiền,"1,028","2,045",996,864,870
2. Các khoản tương đương tiền,351,132,"1,340","1,247",328
II.  Đầu tư tài chính ngắn hạn,"14,370","16,363","17,872","17,314","19,543"
1. Chứng khoán kinh doanh,1,1,1,1,1
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-1,-1,-1,-1,-1
3. Đầu tư nắm giữ đến ngày đáo hạn,"14,370","16,363","17,872","17,313","19,543"
III. Các khoản phải thu ngắn hạn,"4,712","5,675","5,977","5,187","5,320"
1. Phải thu ngắn hạn của khách hàng,"3,743","4,400","4,609","4,174","3,946"
2. Trả trước cho người bán ngắn hạn,389,541,476,546,653
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,16,3,23,0,
6. Phải thu ngắn hạn khác,582,748,885,484,736
7. Dự phòng phải thu ngắn hạn khó đòi (*),-18,-16,-17,-16,-16
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"5,734","5,696","5,246","4,905","6,466"
1. Hàng tồn kho,"5,744","5,710","5,260","4,953","6,515"
2. Dự phòng giảm giá hàng tồn kho (*),-10,-14,-14,-48,-49
V. Tài sản ngắn hạn khác,266,163,110,148,308
1. Chi phí trả trước ngắn hạn,192,83,59,57,203
2. Thuế GTGT được khấu trừ,70,78,48,37,77
3. Thuế và các khoản khác phải thu của nhà nước,,,,54,28
