VPB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,855","2,504","2,444","2,426","2,459"
II. Tiền gửi tại NHNN,"10,829","3,527","6,761","1,611","3,454"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","16,571","8,638","19,982","16,301","20,098"
"1. Tiền, vàng gửi tại các TCTD khác","15,338","7,269","17,357","14,472","15,483"
2. Cho vay các TCTD khác,"1,234","1,369","2,625","1,829","4,615"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,"4,202","4,244","4,891","2,857","1,567"
1. Chứng khoán kinh doanh,"4,241","4,259","4,909","2,864","1,571"
2. Dự phòng giảm giá chứng khoán kinh doanh,-38,-15,-18,-8,-5
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,23,101,,
VI. Cho vay khách hàng,"217,893","227,412","243,518","249,771","253,100"
1. Cho vay và cho thuê tài chính khách hàng,"221,460","231,458","247,633","254,187","257,184"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-3,567","-4,046","-4,115","-4,416","-4,084"
VII. Hoạt động mua nợ,502,,,,
1. Mua nợ,502,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"51,926","54,948","50,259","62,993","68,729"
1. Chứng khoán đầu tư sẵn sàng để bán,"49,417","52,960","48,993","62,311","67,787"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,565","2,753","1,835","1,259","1,094"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,056",-765,-569,-578,-152
"VIII. Góp vốn, đầu tư dài hạn",191,172,161,186,174
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,228,228,228,228,239
4. Dự phòng giảm giá đầu tư dài hạn,-37,-56,-67,-41,-64
IX. Tài sản cố định,"1,963","1,953","1,896","1,844","1,923"
1. Tài sản cố định hữu hình,"1,386","1,388","1,343","1,318","1,343"
