VRE,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"5,708","5,911","7,897","7,044","7,065"
I. Tiền và các khoản tương đương tiền,"2,309","2,689","3,297","3,889","4,901"
1. Tiền,548,428,"1,789",625,696
2. Các khoản tương đương tiền,"1,761","2,262","1,508","3,263","4,205"
II.  Đầu tư tài chính ngắn hạn,674,175,190,292,293
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,674,175,190,292,293
III. Các khoản phải thu ngắn hạn,"1,314","1,631","1,488","1,034","1,222"
1. Phải thu ngắn hạn của khách hàng,"1,134","1,462","1,167",960,"1,091"
2. Trả trước cho người bán ngắn hạn,69,49,43,37,111
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,295,,
6. Phải thu ngắn hạn khác,149,194,143,219,205
7. Dự phòng phải thu ngắn hạn khó đòi (*),-39,-75,-159,-181,-184
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,290,280,583,555,556
1. Hàng tồn kho,290,280,583,555,556
2. Dự phòng giảm giá hàng tồn kho (*),,,,,
V. Tài sản ngắn hạn khác,"1,122","1,137","2,338","1,274",94
1. Chi phí trả trước ngắn hạn,59,73,42,46,63
2. Thuế GTGT được khấu trừ,22,23,23,23,21
3. Thuế và các khoản khác phải thu của nhà nước,0,0,0,2,9
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"1,040","1,040","2,273","1,203",
B. TÀI SẢN DÀI HẠN,"32,205","31,835","29,977","30,686","31,606"
I. Các khoản phải thu dài hạn,8,8,6,8,8
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,8,8,6,8,8
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,434,437,439,431,427
1. Tài sản cố định hữu hình,418,423,426,418,412
- Nguyên giá,600,612,619,619,621
- Giá trị hao mòn lũy kế (*),-182,-189,-193,-201,-209
2. Tài sản cố định thuê tài chính,,,,,63
- Nguyên giá,,,,,
- Giá trị hao mòn lũy kế (*),,,,,63
3. Tài sản cố định vô hình,16,14,12,13,-47
- Nguyên giá,54,54,54,58,
- Giá trị hao mòn lũy kế (*),-38,-40,-42,-44,-47
III. Bất động sản đầu tư,"27,031","26,685","26,269","25,923","27,364"
- Nguyên giá,"33,696","33,693","33,609","33,582","35,349"
- Giá trị hao mòn lũy kế (*),"-6,665","-7,007","-7,340","-7,659","-7,985"
IV. Tài sản dở dang dài hạn,"1,001","1,013","1,256","1,282",805
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"1,001","1,013","1,256","1,282",805
V. Đầu tư tài chính dài hạn,,,,,
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),,,,,
