Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
28/02/2024,28,23.52,0.4(1.45 %),"10,460,800",290.15,"50,000",1.48,27.65,28,27.55
27/02/2024,27.6,23.18,0.1(0.36 %),"12,054,800",331.77,1,0,27.7,27.7,27.35
26/02/2024,27.5,23.1,0.2(0.73 %),"9,785,600",267.37,"437,067",11.1,27.3,27.7,27.1
23/02/2024,27.3,22.93,-0.35(-1.27 %),"25,975,600",725.42,1,0,27.7,28.4,27.3
22/02/2024,27.65,23.23,-0.05(-0.18 %),"7,401,800",204.55,"3,400,000",87.72,27.7,27.75,27.5
21/02/2024,27.7,23.27,0.15(0.54 %),"10,251,900",283.11,"100,000",2.95,27.5,27.9,27.4
20/02/2024,27.55,23.14,-0.15(-0.54 %),"7,316,400",201.46,"2,060,000",60.98,27.5,27.75,27.35
19/02/2024,27.7,23.27,0.1(0.36 %),"11,856,900",325.2,"1,110,000",32.63,27.7,27.7,27.2
16/02/2024,27.6,23.18,0.4(1.47 %),"9,495,400",260.9,"100,000",2.82,27.5,27.6,27.3
15/02/2024,27.2,22.85,-0.8(-2.86 %),"14,244,300",398.27,"1,000,000",29.95,28.05,28.4,27.2
07/02/2024,28,23.52,0.15(0.54 %),"11,893,900",333.35,"833,600",24.8,27.85,28.2,27.85
06/02/2024,27.85,23.39,0.05(0.18 %),"5,447,300",151.47,"11,134,600",308.07,27.85,27.9,27.65
05/02/2024,27.8,23.35,1.55(5.90 %),"28,121,400",758.83,"1,318,200",36.98,26.25,28,26.15
02/02/2024,26.25,22.05,0.25(0.96 %),"14,529,200",379.99,"990,000",27.25,25.95,26.3,25.85
01/02/2024,26,21.84,0.25(0.97 %),"6,281,100",162.95,"70,000",1.8,25.7,26.1,25.7
31/01/2024,25.75,21.63,-0.2(-0.77 %),"12,158,100",314.08,"600,000",16.52,26.1,26.1,25.55
30/01/2024,25.95,21.8,0(0.00 %),"6,379,000",165.9,"8,943,650",248.19,26.05,26.2,25.9
29/01/2024,25.95,21.8,-0.35(-1.33 %),"9,276,600",243.76,"2,685,900",75.47,26.5,26.5,25.95
26/01/2024,26.3,22.09,0.5(1.94 %),"6,856,000",179.74,"75,000",1.94,25.85,26.4,25.85
25/01/2024,25.8,21.67,0(0.00 %),"5,086,300",131.02,"230,001",6.02,25.85,25.9,25.6
