Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
24/01/2022,72,69.41,-3.3(-4.38 %),"582,100",42.61,0,0,73.9,76.1,71
21/01/2022,75.3,72.59,-0.5(-0.66 %),"601,600",44.97,0,0,76,76.6,72.5
20/01/2022,75.4,72.69,2.7(3.71 %),"429,000",31.84,0,0,72.5,75.5,71
19/01/2022,71,68.45,3(4.41 %),"532,200",38.08,0,0,67.5,72.7,67.5
18/01/2022,68,65.55,-2.7(-3.82 %),"426,900",28.98,0,0,70.2,71,66
17/01/2022,70.7,68.16,-5.3(-6.97 %),"798,400",58.04,0,0,76,77.5,70.7
14/01/2022,76,73.27,-1.9(-2.44 %),"283,800",21.46,0,0,73.1,77.9,73.1
13/01/2022,77.9,75.1,-2(-2.50 %),"942,300",71.94,0,0,80.8,80.8,74.4
12/01/2022,79.9,77.03,4.7(6.25 %),"1,566,000",120.23,0,0,75.2,80,71
11/01/2022,75.2,72.49,4.9(6.97 %),"1,176,500",87.72,0,0,73,75.2,72.8
10/01/2022,70.3,67.77,-5.2(-6.89 %),"1,151,800",89.06,0,0,76,80.7,70.3
07/01/2022,75.5,72.78,4.9(6.94 %),"1,093,200",80.33,0,0,71.6,75.5,71.6
06/01/2022,70.6,68.06,4.6(6.97 %),"1,644,400",112.61,"650,000",44.27,65.9,70.6,65
05/01/2022,66,63.63,0.2(0.30 %),"1,128,300",75.68,0,0,66.5,68.8,65.7
04/01/2022,65.8,63.43,1.8(2.81 %),"639,300",41.36,0,0,64.3,66,63.1
31/12/2021,64,61.7,0(0.00 %),"264,400",16.72,0,0,63.8,64.2,62
30/12/2021,64,61.7,0(0.00 %),"295,800",18.97,0,0,64,65,63.3
29/12/2021,64,61.7,-1.9(-2.88 %),"290,700",18.9,0,0,65.7,66.5,64
28/12/2021,65.9,63.53,0.9(1.38 %),"637,800",41.75,0,0,65,66.5,64.3
27/12/2021,65,62.66,-0.5(-0.76 %),"549,200",35.73,"50,000",3.05,65.5,66.5,63.6
