Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
10/01/2025,39.1,,-0.85(-2.13 %),"3,114,500",122.65,0,0,39.9,39.9,39.1
09/01/2025,39.95,,-0.4(-0.99 %),"3,599,100",142.87,"100,000",4.03,39.9,40.05,39.35
08/01/2025,40.35,,-0.05(-0.12 %),"3,125,200",124.96,0,0,40.4,40.4,39.65
07/01/2025,40.4,,1.6(4.12 %),"10,448,400",417.43,0,0,39.1,40.5,39.05
06/01/2025,38.8,,0.6(1.57 %),"4,820,800",186.92,"190,000",7.3,38.3,39.15,38.2
03/01/2025,38.2,,0(0.00 %),"3,698,500",142.07,0,0,38.2,38.6,38.2
02/01/2025,38.2,,0.65(1.73 %),"3,160,500",121.16,0,0,38.2,38.65,37.9
31/12/2024,37.55,,-0.7(-1.83 %),"3,416,900",129.68,0,0,38.5,38.75,37.55
30/12/2024,38.25,,-0.9(-2.30 %),"4,011,800",155.32,0,0,39.1,39.15,38.25
27/12/2024,39.15,,0.15(0.38 %),"2,859,500",112.15,0,0,39.25,39.5,39.1
26/12/2024,39,,0.35(0.91 %),"3,884,200",151.7,0,0,38.95,39.35,38.8
25/12/2024,38.65,,0.55(1.44 %),"5,277,300",204.65,0,0,38.2,39.8,38.1
24/12/2024,38.1,,-0.5(-1.30 %),"3,216,000",123.13,0,0,38.7,38.85,38.05
23/12/2024,38.6,,0.21(0.55 %),"2,895,400",112.17,0,0,38.9,39,38.5
20/12/2024,46.45,38.39,0(0.00 %),"2,993,400",139.08,0,0,46.5,46.7,46.35
19/12/2024,46.45,38.39,-0.4(-0.85 %),"2,706,000",126.01,"20,000",0.93,46.65,46.75,46.4
18/12/2024,46.85,38.72,0.25(0.54 %),"1,661,100",77.81,0,0,46.85,47,46.7
17/12/2024,46.6,38.51,-0.15(-0.32 %),"2,248,800",105.48,0,0,47,47.15,46.6
16/12/2024,46.75,38.63,0.35(0.75 %),"3,247,200",152.67,0,0,47,47.25,46.7
13/12/2024,46.4,38.34,-0.2(-0.43 %),"1,382,900",64.4,0,0,46.55,46.8,46.4
