Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
07/07/2021,54.5,48.07,-1.4(-2.50 %),"2,063,400",112.08,0,0,55.9,55.9,53.7
06/07/2021,55.9,49.31,-2.4(-4.12 %),"2,888,400",164.23,0,0,58.1,58.8,55.9
05/07/2021,58.2,51.34,-0.9(-1.52 %),"1,030,100",60,0,0,59.1,59.1,57.7
02/07/2021,59.1,52.13,0.1(0.17 %),"959,500",56.68,0,0,59.5,59.9,58.6
01/07/2021,59,52.04,0.6(1.03 %),"1,073,300",62.93,0,0,58.9,59.3,58
30/06/2021,58.4,51.51,-0.7(-1.18 %),"804,400",47.2,0,0,59.1,59.4,58.4
29/06/2021,59.1,52.13,-0.9(-1.50 %),"930,900",55.4,0,0,60,60.2,58.9
28/06/2021,60,52.92,1.7(2.92 %),"1,030,400",61.21,0,0,59,60.3,58.4
25/06/2021,58.3,51.43,0.3(0.52 %),"1,040,900",60.25,0,0,58,58.5,57.1
24/06/2021,58,51.16,-0.8(-1.36 %),"1,278,900",74.45,0,0,58.5,59.8,57.9
23/06/2021,58.8,51.87,-1.1(-1.84 %),"1,583,600",93.35,0,0,60.5,60.5,58
22/06/2021,59.9,52.84,0.2(0.34 %),"1,477,500",89.28,0,0,60.5,61,59.8
21/06/2021,59.7,52.66,-1.3(-2.13 %),"1,610,800",96.85,0,0,61,61,59.2
18/06/2021,61,53.81,-1(-1.61 %),"1,363,900",84.23,0,0,62,62.3,61
17/06/2021,62,54.69,1.7(2.82 %),"1,926,300",116.39,0,0,59.3,62,59.1
16/06/2021,60.3,53.19,-0.9(-1.47 %),"1,462,800",89.01,0,0,61,61.5,60
15/06/2021,61.2,53.98,1.2(2.00 %),"2,252,500",136.38,0,0,60,61.5,59.7
14/06/2021,60,52.92,2.7(4.71 %),"3,394,700",202.59,0,0,58.5,60.7,58
11/06/2021,57.3,50.54,1.8(3.24 %),"1,430,200",81.61,0,0,56,57.6,55.9
10/06/2021,55.5,48.96,-0.9(-1.60 %),"1,007,100",56.14,0,0,56.4,56.4,55.2
