Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/12/2024,36.3,,-0.05(-0.14 %),"5,010,500",182.75,"20,000",0.72,36.4,36.8,36.2
11/12/2024,36.35,,0(0.00 %),"4,390,000",159.72,"114,000",4.05,36.3,36.6,36.2
10/12/2024,36.35,,-0.1(-0.27 %),"3,293,400",119.56,"20,000",0.74,36.45,36.5,36.1
09/12/2024,36.45,,0.2(0.55 %),"4,392,500",159.3,"70,000",2.52,36.15,36.5,36.05
06/12/2024,36.25,,-0.15(-0.41 %),"5,625,800",204.97,0,0,36.5,36.65,36.25
05/12/2024,36.4,,1.1(3.12 %),"10,395,100",373.02,"134,000",4.72,35.3,36.5,35.05
04/12/2024,35.3,,-0.6(-1.67 %),"4,137,800",146.74,0,0,35.6,35.7,35.3
03/12/2024,35.9,,0.05(0.14 %),"5,261,300",187.91,"179,600",6.4,35.95,35.95,35.45
02/12/2024,35.85,,0.1(0.28 %),"4,468,300",160.29,0,0,35.9,36,35.7
29/11/2024,35.75,,0.35(0.99 %),"5,142,400",183.29,"134,000",4.75,35.5,35.85,35.25
28/11/2024,35.4,,0.25(0.71 %),"3,289,800",115.98,0,0,35.3,35.4,34.95
27/11/2024,35.15,,-0.15(-0.42 %),"2,761,100",96.84,"134,000",4.79,35.1,35.3,34.95
26/11/2024,35.3,,0.2(0.57 %),"4,538,800",159.65,0,0,35,35.35,34.9
25/11/2024,35.1,,0.1(0.29 %),"3,824,500",133.68,"163,500",5.72,34.95,35.1,34.7
22/11/2024,35,,0(0.00 %),"6,181,600",215.95,"94,000",3.17,34.9,35.2,34.7
21/11/2024,35,,1(2.94 %),"7,810,800",269.07,"113,500",3.93,34,35,33.6
20/11/2024,34,,0.65(1.95 %),"6,494,000",218.86,"94,000",3.17,33.05,34,33.05
19/11/2024,33.35,,0.05(0.15 %),"5,280,700",175.85,"1,000,000",31.05,33.5,33.6,33
18/11/2024,33.3,,0.2(0.60 %),"4,072,900",134.9,"35,000",1.18,33.1,33.65,32.7
15/11/2024,33.1,,-0.5(-1.49 %),"8,350,400",276.39,"77,000",2.62,33.6,33.6,32.8
