Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/12/2024,150.2,,-0.3(-0.20 %),"4,147,900",622.84,"1,450,007",222.8,151.9,151.9,149.2
11/12/2024,150.5,,1(0.67 %),"4,816,600",726.23,"3,810,007",586.45,150,151.7,149.7
10/12/2024,149.5,,2.5(1.70 %),"3,597,200",533.51,"690,006",103.7,147.1,149.5,147
09/12/2024,147,,-2.5(-1.67 %),"4,539,000",667.47,"1,360,005",210.56,149.2,149.5,146.1
06/12/2024,149.5,,1(0.67 %),"4,541,200",678.95,"462,000",69.69,151.9,151.9,148
05/12/2024,148.5,,5(3.48 %),"4,849,200",707.11,"3,799,301",560.86,144,148.5,143.6
04/12/2024,143.5,,-1.5(-1.03 %),"5,609,100",813.74,"1,720,301",254.37,145,146.3,142.8
03/12/2024,145,,2.8(1.97 %),"5,103,700",734.27,"1,868,000",269.51,141.7,145.9,141.7
02/12/2024,142.2,,-1.1(-0.77 %),"6,616,800",949.44,"1,323,730",194.68,144.3,146,141.6
29/11/2024,144.3,143.3,4.9(3.52 %),"11,586,700","1,652.18","1,901,000",272.28,139.4,145.4,139
28/11/2024,139.4,138.44,0.5(0.36 %),"4,742,700",660.34,"2,336,000",323.19,139.4,140,138.3
27/11/2024,138.9,137.94,3.7(2.74 %),"9,814,300","1,358.07","3,452,000",470.9,135.2,139.7,135.2
26/11/2024,135.2,134.27,1.3(0.97 %),"4,176,100",562.87,"325,000",44.57,133.4,135.9,133.3
25/11/2024,133.9,132.98,0(0.00 %),"1,849,700",247.3,"4,788,000",663.25,134,134,133.2
22/11/2024,133.9,132.98,0.9(0.68 %),"2,915,900",389.77,"2,660,000",366.22,132.9,134.4,132.5
21/11/2024,133,132.08,0.6(0.45 %),"3,176,700",419.16,"1,152,301",146.58,132.4,133,131
20/11/2024,132.4,131.49,2.4(1.85 %),"8,460,300","1,092.05","1,160,000",155.76,130,132.4,126.7
19/11/2024,130,129.1,-4(-2.99 %),"7,642,800","1,000.8","1,510,000",210.37,133.5,133.6,129.9
18/11/2024,134,133.08,0.1(0.07 %),"3,903,400",521,"90,001",12.02,134,134.6,132.5
15/11/2024,133.9,132.98,-2.1(-1.54 %),"6,563,600",878.2,0,0,135.3,135.7,132.6
