Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
14/02/2023,105.6,77.28,-0.3(-0.28 %),"108,200",11.46,0,0,106.3,107,105.6
13/02/2023,105.9,77.5,-0.2(-0.19 %),"201,400",21.46,0,0,106.1,107.8,105.3
10/02/2023,106.1,77.65,-2(-1.85 %),"202,400",21.59,0,0,108.1,108.1,106.1
09/02/2023,108.1,79.11,0.8(0.75 %),"314,600",34.07,0,0,107.9,108.8,107.3
08/02/2023,107.3,78.53,1(0.94 %),"273,500",29.35,0,0,106.3,108,106.2
07/02/2023,106.3,77.79,0.3(0.28 %),"287,400",30.66,0,0,106.7,107.8,105
06/02/2023,106,77.57,0.8(0.76 %),"242,000",25.58,0,0,105.2,107,104.2
03/02/2023,105.2,76.99,-1.8(-1.68 %),"258,900",27.43,0,0,106.8,107,105.2
02/02/2023,107,78.31,0.4(0.38 %),"293,900",31.44,0,0,107,108,106.4
01/02/2023,106.6,78.01,0.3(0.28 %),"732,800",79.38,0,0,106.9,110.6,106
31/01/2023,106.3,77.79,-0.3(-0.28 %),"283,700",30.14,0,0,106.6,107.5,105.6
30/01/2023,106.6,78.01,-1.6(-1.48 %),"267,500",28.88,0,0,109,109.1,106.6
27/01/2023,108.2,79.18,3.7(3.54 %),"535,400",57.57,0,0,105.1,110.2,105.1
19/01/2023,104.5,76.48,0.2(0.19 %),"249,800",26.03,0,0,104.7,104.9,103.5
18/01/2023,104.3,76.33,0.1(0.10 %),"151,800",15.92,0,0,104.9,105.7,104.2
17/01/2023,104.2,76.26,1.2(1.17 %),"290,300",29.92,0,0,103,104.7,102.5
16/01/2023,103,75.38,-1.5(-1.44 %),"244,900",25.4,0,0,104.8,104.8,103
13/01/2023,104.5,76.48,-0.5(-0.48 %),"193,100",20.24,0,0,104.6,105.5,104.4
12/01/2023,105,76.84,0.8(0.77 %),"236,800",24.86,0,0,104.2,105.2,104.2
11/01/2023,104.2,76.26,-0.4(-0.38 %),"108,100",11.3,0,0,104.9,105.4,104.1
