Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/12/2024,31.65,,0.2(0.64 %),"2,559,700",81.56,0,0,31.6,32.2,31.6
11/12/2024,31.45,,-0.3(-0.94 %),"2,909,400",91.68,0,0,31.75,31.95,31.25
10/12/2024,31.75,,-0.35(-1.09 %),"1,802,500",57.58,0,0,32.25,32.3,31.7
09/12/2024,32.1,,0.05(0.16 %),"2,153,900",69.24,0,0,32.1,32.3,32
06/12/2024,32.05,,0.7(2.23 %),"5,687,900",183.01,0,0,31.5,32.8,31.35
05/12/2024,31.35,,1(3.29 %),"2,958,200",91.61,0,0,30.4,31.5,30.1
04/12/2024,30.35,,-0.55(-1.78 %),"2,916,000",89.38,"40,000",1.24,30.9,31,30.35
03/12/2024,30.9,,-0.55(-1.75 %),"2,569,400",80.19,0,0,31.6,31.6,30.9
02/12/2024,31.45,,0.15(0.48 %),"1,918,400",60.42,0,0,31.5,31.7,31.35
29/11/2024,31.3,,-0.05(-0.16 %),"1,809,200",56.72,0,0,31.35,31.5,31.2
28/11/2024,31.35,,0.1(0.32 %),"2,401,700",75.69,0,0,31.3,31.8,31.3
27/11/2024,31.25,,-0.05(-0.16 %),"1,369,700",42.88,0,0,31.5,31.5,31.15
26/11/2024,31.3,,0.4(1.29 %),"2,765,200",86.72,0,0,31,31.6,31
25/11/2024,30.9,,0(0.00 %),"2,182,500",67.53,0,0,30.9,31.2,30.8
22/11/2024,30.9,,-0.3(-0.96 %),"1,785,700",55.34,0,0,31.1,31.3,30.85
21/11/2024,31.2,,0.4(1.30 %),"1,808,500",55.85,0,0,30.8,31.3,30.6
20/11/2024,30.8,,0.4(1.32 %),"2,657,000",81.72,0,0,30.4,31.3,30
19/11/2024,30.4,,-0.75(-2.41 %),"2,306,700",70.77,0,0,31.2,31.4,30.35
18/11/2024,31.15,,0.15(0.48 %),"2,509,300",77.26,0,0,31,31.55,30.3
15/11/2024,31,,-0.5(-1.59 %),"3,097,000",96.79,0,0,31.2,31.8,30.8
