Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/05/2021,30.2,12.76,0.2(0.67 %),"9,313,400",278.75,0,0,29.8,30.3,29.5
11/05/2021,30,12.68,-0.8(-2.60 %),"5,377,400",164.38,0,0,30.8,31,30
10/05/2021,30.8,13.02,0.8(2.67 %),"9,105,400",278.18,0,0,29.8,31.25,29.8
07/05/2021,30,12.68,1.2(4.17 %),"15,743,900",467.92,0,0,28.4,30.5,28.4
06/05/2021,28.8,12.17,-0.25(-0.86 %),"5,442,700",158.25,0,0,29.3,29.45,28.6
05/05/2021,29.05,12.28,1.85(6.80 %),"17,394,400",495.54,"3,020,039",76.77,27.3,29.1,27.3
04/05/2021,27.2,11.49,-0.05(-0.18 %),"4,476,200",120.7,"802,200",21.72,26.65,27.3,26.6
29/04/2021,27.25,11.52,0.4(1.49 %),"4,836,700",131.7,0,0,26.85,27.45,26.85
28/04/2021,26.85,11.35,0.05(0.19 %),"2,933,300",78.73,0,0,26.8,26.95,26.7
27/04/2021,26.8,11.33,0.3(1.13 %),"3,175,700",84.29,"3,080,200",81.96,26.5,26.95,26
26/04/2021,26.5,11.2,-0.4(-1.49 %),"3,955,800",104.94,0,0,26.9,27.1,26.1
23/04/2021,26.9,11.37,0.6(2.28 %),"4,256,300",112.32,0,0,26.3,26.95,26
22/04/2021,26.3,11.11,-0.9(-3.31 %),"4,280,300",114.7,0,0,27.2,27.2,26.3
20/04/2021,27.2,11.49,-0.1(-0.37 %),"3,470,400",94.96,0,0,27.55,27.6,27.05
19/04/2021,27.3,11.54,0.65(2.44 %),"3,695,000",99.69,0,0,27.3,27.3,26.65
16/04/2021,26.65,11.26,-0.7(-2.56 %),"4,639,500",124.82,0,0,27.2,27.4,26.5
15/04/2021,27.35,11.56,-0.55(-1.97 %),"4,656,800",128.14,0,0,27.9,27.9,27.35
14/04/2021,27.9,11.79,0.25(0.90 %),"2,954,300",81.76,0,0,27.65,27.9,27.35
13/04/2021,27.65,11.68,-0.25(-0.90 %),"5,844,900",164.04,0,0,28.3,28.3,27.5
12/04/2021,27.9,11.79,-0.1(-0.36 %),"9,500,100",262.17,"300,000",7.82,28.1,28.1,27
