Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
14/02/2023,20.6,18.73,0.4(1.98 %),"17,294,600",355.1,0,0,20.3,20.9,20.25
13/02/2023,20.2,18.36,-0.3(-1.46 %),"18,741,800",374.57,"100,000",1.91,20.4,20.4,19.75
10/02/2023,20.5,18.64,-0.1(-0.49 %),"15,828,700",324.39,"163,300",3.31,20.7,20.8,20.15
09/02/2023,20.6,18.73,-0.3(-1.44 %),"16,343,900",340.15,"99,000",2.09,21,21.25,20.6
08/02/2023,20.85,18.95,1.05(5.30 %),"33,812,500",688.13,0,0,19.75,21.1,19.75
07/02/2023,19.75,17.95,-1.45(-6.84 %),"43,379,400",878.29,0,0,21.15,21.2,19.7
06/02/2023,21.15,19.23,0.05(0.24 %),"22,282,300",463.77,"780,000",16.79,21.1,21.15,20.55
03/02/2023,21.1,19.18,-0.2(-0.94 %),"20,956,300",446.13,"60,000",1.26,21.45,21.55,21
02/02/2023,21.3,19.36,0.2(0.95 %),"25,388,600",541.73,"294,000",6.4,21.2,21.7,21.1
01/02/2023,21.1,19.18,-1(-4.52 %),"51,905,400","1,144.68",0,0,22.2,22.65,21
31/01/2023,22.1,20.09,0.3(1.38 %),"28,105,900",616.16,"295,000",6.42,21.9,22.1,21.7
30/01/2023,21.75,19.77,0.25(1.16 %),"42,341,300",929.52,"200,000",4.19,21.7,22.2,21.35
27/01/2023,21.5,19.55,0.3(1.42 %),"26,524,400",564.53,"50,000",1.02,21,21.55,20.85
19/01/2023,21.15,19.23,-0.55(-2.53 %),"43,940,400",936.01,"1,539,800",32.83,21.6,21.85,20.85
18/01/2023,21.7,19.73,0(0.00 %),"25,850,200",563,"600,000",12.6,22,22.05,21.55
17/01/2023,21.65,19.68,1.35(6.65 %),"41,584,700",883.1,"465,000",9.57,20.45,21.65,20.45
16/01/2023,20.25,18.41,0.25(1.25 %),"22,319,700",452.2,"2,571,720",52.08,20,20.65,19.95
13/01/2023,19.95,18.14,-0.15(-0.75 %),"19,174,700",385.97,"1,798,000",35.48,20.25,20.35,19.9
12/01/2023,20.05,18.23,-0.15(-0.74 %),"20,172,900",405.85,"3,024,000",58.2,20.1,20.25,19.9
11/01/2023,20.2,18.36,0.4(2.02 %),"25,709,300",519.55,0,0,20,20.55,19.9
