Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
19/09/2022,13.65,7.89,-0.55(-3.87 %),"2,755,700",38.27,"913,500",12.7,14.2,14.3,13.65
16/09/2022,14.2,8.21,-0.6(-4.05 %),"3,046,800",43.98,0,0,14.75,14.8,14.2
15/09/2022,14.8,8.56,-0.1(-0.67 %),"1,248,300",18.52,"31,000",0.49,14.95,15,14.75
14/09/2022,14.9,8.62,0(0.00 %),"2,648,500",38.96,0,0,14.45,15,14.45
13/09/2022,14.9,8.62,0.1(0.68 %),"1,550,300",22.97,"1,021,000",15.06,14.8,14.95,14.65
12/09/2022,14.8,8.56,0.1(0.68 %),"1,759,200",26.05,"350,000",5.18,14.9,14.9,14.75
09/09/2022,14.7,8.5,0(0.00 %),"5,568,800",80.82,"2,200,000",33,14.85,14.9,14.15
08/09/2022,14.7,8.5,-0.9(-5.77 %),"5,839,600",89,"31,000",0.49,15.6,15.65,14.6
07/09/2022,15.55,8.99,-0.35(-2.20 %),"5,347,300",84.23,"2,860,000",47.19,15.9,16,15.55
06/09/2022,15.9,9.2,0.1(0.63 %),"4,900,600",77.92,0,0,15.7,16.05,15.65
05/09/2022,15.75,9.11,-0.05(-0.32 %),"3,499,100",55.3,"1,291,000",20.31,15.75,16,15.6
31/08/2022,15.8,9.14,0(0.00 %),"2,707,500",42.59,"970,000",15.44,15.75,15.8,15.55
30/08/2022,15.75,9.11,0.25(1.61 %),"4,242,100",66.67,"600,000",9.6,15.7,15.9,15.5
29/08/2022,15.5,8.96,-0.3(-1.90 %),"4,576,300",70.49,"466,000",7.17,15.5,15.6,15.1
26/08/2022,15.8,9.14,-0.2(-1.25 %),"4,268,100",68.11,0,0,16.1,16.1,15.75
25/08/2022,15.95,9.22,0.15(0.95 %),"6,804,900",108.67,"640,300",10.06,15.9,16.1,15.8
24/08/2022,15.75,9.11,-0.05(-0.32 %),"3,332,700",52.64,"1,121,000",17.71,15.8,15.9,15.7
23/08/2022,15.8,9.14,0.3(1.94 %),"3,989,700",62.06,"20,000",0.29,15.4,15.8,15.4
22/08/2022,15.5,8.96,-0.1(-0.64 %),"3,173,300",49.1,"100,000",1.45,15.5,15.65,15.3
19/08/2022,15.55,8.99,-0.15(-0.96 %),"3,367,700",52.72,"240,300",3.74,15.7,15.8,15.5
