Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/12/2024,24.3,21.13,0(0.00 %),"5,748,500",140.29,66,0,24.4,24.55,24.3
11/12/2024,24.3,21.13,0.05(0.21 %),"5,623,000",136.38,"1,303,962",32.4,24.25,24.4,24.1
10/12/2024,24.25,21.09,-0.15(-0.61 %),"5,009,700",121.89,"1,858,022",46.23,24.4,24.5,24.25
09/12/2024,24.4,21.22,0.05(0.21 %),"5,848,600",142.74,"795,035",19.65,24.4,24.55,24.25
06/12/2024,24.35,21.17,-0.2(-0.81 %),"6,119,000",149.64,"9,800,125",245.39,24.6,24.6,24.35
05/12/2024,24.55,21.35,0.7(2.94 %),"10,559,800",256.09,"125,000",2.97,23.85,24.6,23.8
04/12/2024,23.85,20.74,-0.1(-0.42 %),"6,135,700",146.61,"2,444,501",59.2,23.9,24,23.8
03/12/2024,23.95,20.83,-0.2(-0.83 %),"6,576,600",158.19,"841,300",19.94,24.15,24.2,23.95
02/12/2024,24.15,21,0(0.00 %),"4,110,300",99.29,"2,131,139",51.88,24.2,24.3,24.05
29/11/2024,24.15,21,0.15(0.62 %),"4,338,100",104.44,"2,440,100",59.27,24.05,24.15,23.95
28/11/2024,24,20.87,-0.1(-0.41 %),"6,587,200",158.95,"2,325,900",57.22,24.2,24.25,24
27/11/2024,24.1,20.96,0(0.00 %),"4,073,600",97.91,"330,701",8.16,24,24.25,23.9
26/11/2024,24.1,20.96,0.15(0.63 %),"4,436,300",106.94,"931,001",22.82,24.05,24.2,24
25/11/2024,23.95,20.83,-0.05(-0.21 %),"4,808,800",115.24,"356,401",8.74,24,24.05,23.9
22/11/2024,24,20.87,0(0.00 %),"7,345,500",176.57,"1,861,501",44.93,23.95,24.2,23.9
21/11/2024,24,20.87,0.45(1.91 %),"6,580,200",156.07,2,0,23.6,24,23.4
20/11/2024,23.55,20.48,0.4(1.73 %),"9,713,500",227.4,"1,646,198",37.99,23.15,23.7,23.15
19/11/2024,23.15,20.13,-0.25(-1.07 %),"7,581,900",176.94,"290,000",6.81,23.5,23.6,23.15
18/11/2024,23.4,20.35,-0.1(-0.43 %),"15,027,600",350.62,"1,109,401",26.18,23.5,23.65,23.1
15/11/2024,23.5,20.44,-0.3(-1.26 %),"11,785,200",278.56,"8,284,102",197.26,23.7,23.8,23.5
