Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
09/06/2021,104.5,85.57,0.5(0.48 %),"1,070,000",111.24,"180,000",19.52,103,105,103
08/06/2021,104,85.16,-0.5(-0.48 %),"1,589,500",167.64,0,0,104.6,106.7,104
07/06/2021,104.5,85.57,-2.8(-2.61 %),"905,600",95.39,0,0,107,107.3,104
04/06/2021,107.3,87.87,2.3(2.19 %),"1,560,500",162.3,"325,000",36.5,104.5,107.3,103
03/06/2021,105,85.98,-0.7(-0.66 %),"2,624,700",272.7,0,0,105.6,105.7,103
02/06/2021,105.7,86.55,-1.3(-1.21 %),"1,867,800",199.56,0,0,108.2,108.5,105.5
01/06/2021,107,87.62,-3.1(-2.82 %),"2,426,200",258.33,0,0,110,110,104.7
31/05/2021,110.1,90.16,-2.4(-2.13 %),"1,011,700",111.59,0,0,112,112.2,109.5
28/05/2021,112.5,92.12,2.5(2.27 %),"2,045,800",224.68,0,0,110,112.5,108.6
27/05/2021,110,90.08,-3.6(-3.17 %),"1,642,200",183.86,"250,000",30.25,113.6,113.8,105.7
26/05/2021,113.6,93.02,0(0.00 %),"1,459,300",164.75,0,0,114,114,112
25/05/2021,113.6,93.02,1.6(1.43 %),"1,734,000",196.45,"951,000",106.42,111.5,115.5,111
24/05/2021,112,91.71,0.1(0.09 %),"2,152,900",240.89,"250,000",26.25,111.9,113.6,111
21/05/2021,111.9,91.63,-1.7(-1.50 %),"2,584,400",290.48,0,0,112.5,113.8,111.6
20/05/2021,113.6,93.02,5.6(5.19 %),"2,826,500",313.01,0,0,109,114,107.9
19/05/2021,108,88.44,2.9(2.76 %),"2,094,300",225.19,0,0,106,109,105.1
18/05/2021,105.1,86.06,0.9(0.86 %),"2,952,600",316.98,"150,000",16.03,106,110,104.8
17/05/2021,104.2,85.33,-3.9(-3.61 %),"2,365,200",252.29,0,0,109,109.5,104.2
14/05/2021,108.1,88.52,5.1(4.95 %),"3,609,800",389.93,"200,000",21.78,103.8,110,103.8
13/05/2021,103,84.34,-1(-0.96 %),"2,424,100",251.44,"23,000",2.26,103.7,104.8,102.8
