Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
14/11/2022,40.65,40.33,-2.35(-5.47 %),"3,514,300",145.04,"47,600",2.19,42,42.75,40.4
11/11/2022,43,42.66,0.6(1.42 %),"3,565,100",155.09,"80,800",3.66,43.4,44.4,43
10/11/2022,42.35,42.02,-3.15(-6.92 %),"3,670,600",157.64,"57,500",3.11,44.95,44.95,42.35
09/11/2022,45.5,45.14,0.9(2.02 %),"2,156,900",97.7,"78,000",3.7,45,46.45,44.55
08/11/2022,44.6,44.25,1.7(3.96 %),"4,117,000",179.51,"36,800",1.69,42.85,45.6,41.3
07/11/2022,42.85,42.51,-3.25(-7.05 %),"5,344,200",233.08,"1,130,000",55.65,46,46.55,42.85
04/11/2022,46.05,45.69,-3.45(-6.97 %),"5,742,900",266.89,"630,000",33.33,47.55,48,46.05
03/11/2022,49.5,49.11,1.5(3.12 %),"2,600,000",128.29,"40,000",2.05,49,50.3,48.1
02/11/2022,48,47.62,-2.1(-4.19 %),"4,317,000",207.49,"666,700",35.62,50,50.3,46.8
01/11/2022,50.1,49.7,-1.5(-2.91 %),"1,999,200",102.14,0,0,52,52.5,50.1
31/10/2022,51.6,51.19,-1.6(-3.01 %),"3,903,900",196.83,0,0,52.4,52.9,49.5
28/10/2022,53.2,52.78,-0.1(-0.19 %),"1,802,000",96.3,"63,000",3.54,53.5,54.4,52.8
27/10/2022,53.3,52.88,1.4(2.70 %),"2,990,400",156.92,"320,800",17.8,51.3,53.9,51.3
26/10/2022,51.9,51.49,-0.1(-0.19 %),"1,528,200",78.84,"877,000",46.62,52.1,52.5,50.6
25/10/2022,52,51.59,1.4(2.77 %),"4,400,700",224.8,0,0,50.7,54,49
24/10/2022,50.6,50.2,-3.8(-6.99 %),"4,828,000",248.69,"1,190,000",69.26,54.5,55,50.6
21/10/2022,54.4,53.97,-4(-6.85 %),"4,238,200",235.08,"3,904,100",242.55,58.3,58.3,54.4
20/10/2022,58.4,57.94,-0.6(-1.02 %),"1,811,200",105.86,"125,700",7.84,58.2,59,57.9
19/10/2022,59,58.53,0(0.00 %),"1,407,400",82.82,"130,000",7.92,59.2,59.5,58.3
18/10/2022,59,58.53,0.1(0.17 %),"2,054,300",121.86,"354,600",22.19,59.9,60.5,58.6
