Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
01/09/2021,50.8,46.09,1.1(2.21 %),"1,320,900",66.83,0,0,49.8,51.1,49.7
31/08/2021,49.7,45.09,0.15(0.30 %),"1,101,500",54.71,0,0,50,50,49.5
30/08/2021,49.55,44.95,0.05(0.10 %),"831,900",41.23,"132,170",6.54,49.9,50.1,49.4
27/08/2021,49.5,44.91,0.8(1.64 %),"797,100",39.04,0,0,48.55,49.5,48.55
26/08/2021,48.7,44.18,-0.85(-1.72 %),"754,100",37.18,0,0,49.65,50.1,48.7
25/08/2021,49.55,44.95,0.75(1.54 %),"1,156,100",57.07,0,0,49.15,49.85,49
24/08/2021,48.8,44.27,0.3(0.62 %),"1,279,500",62.55,"20,050",0.98,49,49.3,48.5
23/08/2021,48.5,44,-1.1(-2.22 %),"1,795,400",88.14,0,0,49.4,49.9,48.5
20/08/2021,49.6,45,-1.9(-3.69 %),"1,982,900",100.15,"20,000",1.1,51.7,51.7,49.5
19/08/2021,51.5,46.72,-0.1(-0.19 %),"1,008,500",51.83,"200,000",10.27,51.6,51.8,51.1
18/08/2021,51.6,46.81,0(0.00 %),"1,016,100",52.36,0,0,51.6,51.9,51.3
17/08/2021,51.6,46.81,-0.5(-0.96 %),"1,354,100",70.15,"100,000",4.85,52.2,52.5,51.6
16/08/2021,52.1,47.27,-0.8(-1.51 %),"1,051,300",54.91,0,0,52.7,52.7,51
13/08/2021,52.9,47.99,-0.1(-0.19 %),"2,831,900",148.95,"420,000",22.26,52.6,53,51.9
12/08/2021,53,48.08,-0.4(-0.75 %),"2,153,600",115.03,0,0,53,53.7,53
11/08/2021,53.4,48.45,-0.4(-0.74 %),"2,800,700",150.58,"60,000",3.23,53.8,54.1,53.4
10/08/2021,53.8,48.81,0.9(1.70 %),"4,106,100",219.12,0,0,52.8,53.9,52.5
09/08/2021,52.9,47.99,0(0.00 %),"1,710,100",90.2,0,0,52.6,53.1,52
06/08/2021,52.9,47.99,0.5(0.95 %),"1,720,900",91.19,0,0,52.8,53.3,52.6
05/08/2021,52.4,47.54,0.1(0.19 %),"806,900",42.35,0,0,52.4,52.9,51.9
