Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/05/2021,151.7,65.71,-0.5(-0.33 %),"91,400",13.87,"76,000",11.1,152.2,152.8,151
11/05/2021,152.2,65.92,1.7(1.13 %),"238,100",36.45,"57,000",8.72,151,160,151
10/05/2021,150.5,65.19,-2.5(-1.63 %),"235,200",35.58,"120,000",18.14,150,152.3,150
07/05/2021,153,66.27,-3(-1.92 %),"199,900",30.66,"70,000",11.4,155.9,156.7,152
06/05/2021,156,67.57,-4.4(-2.74 %),"362,700",56.89,"100,000",16.04,160.4,160.4,154.6
05/05/2021,160.4,69.48,-0.8(-0.50 %),"264,400",42.46,0,0,161.5,161.5,160.1
04/05/2021,161.2,69.82,-5.9(-3.53 %),"278,200",45.56,"70,000",11.52,167.1,167.1,161
29/04/2021,167.1,72.38,-2.7(-1.59 %),"170,100",28.5,"241,900",40.3,169.8,169.8,165.2
28/04/2021,169.8,73.55,0(0.00 %),"141,900",24.02,"40,000",6.77,169.8,169.8,166.7
27/04/2021,169.8,73.55,-0.2(-0.12 %),"88,700",15.04,"60,000",10.17,170,170,165.4
26/04/2021,170,73.63,0(0.00 %),"184,400",31.14,"88,600",15.03,172,172,164.5
23/04/2021,170,73.63,2.4(1.43 %),"175,900",29.53,0,0,167.8,170,166.8
22/04/2021,167.6,72.6,-2.4(-1.41 %),"112,600",19.05,"60,000",10.16,170,170.5,167
20/04/2021,170,73.63,0(0.00 %),"186,700",31.77,"90,000",15.31,170.2,171.1,169
19/04/2021,170,73.63,0.9(0.53 %),"153,600",25.94,"28,000",4.71,169,170,166.1
16/04/2021,169.1,73.24,-2.6(-1.51 %),"165,300",28.2,"20,000",3.44,171,171,168
15/04/2021,171.7,74.37,-1(-0.58 %),"159,000",27.49,"64,000",11.51,172.5,174.8,171.5
14/04/2021,172.7,74.8,-0.7(-0.40 %),"183,300",31.65,"92,800",16.02,173.4,173.9,171.9
13/04/2021,173.4,75.11,-1.6(-0.91 %),"173,200",30.21,"235,000",40.88,176.5,176.5,173.1
12/04/2021,175,75.8,1(0.57 %),"168,100",29.47,"104,000",18.16,177.5,177.5,174.6
