Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
17/10/2022,11.5,7.31,0.5(4.55 %),"14,466,400",161.83,"5,125,000",58.13,11,11.6,10.85
14/10/2022,11,7,0.7(6.80 %),"14,546,400",159.06,0,0,10.65,11,10.6
13/10/2022,10.3,6.55,0.2(1.98 %),"10,303,200",105.53,0,0,10.2,10.45,10.1
12/10/2022,10.05,6.39,0.65(6.91 %),"19,543,100",189.93,"510,000",5.1,9.15,10.05,9.15
11/10/2022,9.4,5.98,-0.7(-6.93 %),"14,325,600",137.34,0,0,9.9,10.05,9.4
10/10/2022,10.1,6.42,-0.3(-2.88 %),"12,949,100",130.85,0,0,10.05,10.4,9.72
07/10/2022,10.35,6.58,-0.65(-5.91 %),"15,297,700",159.57,"1,559,000",16.3,10.55,10.8,10.3
06/10/2022,11,7,-0.7(-5.98 %),"6,647,600",75.09,0,0,11.75,11.8,10.95
05/10/2022,11.7,7.44,0.2(1.74 %),"6,745,700",79.5,"5,530,000",65.02,11.7,11.9,11.65
04/10/2022,11.5,7.31,-0.4(-3.36 %),"6,492,400",77.17,"5,121,000",61.02,12.2,12.2,11.5
03/10/2022,11.9,7.57,-0.6(-4.80 %),"8,923,400",108.61,0,0,12.45,12.55,11.9
30/09/2022,12.45,7.92,0.05(0.40 %),"6,963,700",86.14,"745,202",9.3,12.45,12.55,12.15
29/09/2022,12.4,7.89,-0.1(-0.80 %),"5,441,100",68.41,"5,772,384",72.15,12.7,12.8,12.4
28/09/2022,12.5,7.95,-0.3(-2.34 %),"5,241,200",66.04,"3,500,000",43.75,12.6,12.8,12.4
27/09/2022,12.75,8.11,0.35(2.82 %),"7,972,000",100.7,0,0,12.45,12.85,12.35
26/09/2022,12.4,7.89,-0.7(-5.34 %),"12,156,200",152.33,0,0,12.9,12.9,12.25
23/09/2022,13.1,8.33,-0.3(-2.24 %),"6,004,000",79.84,0,0,13.35,13.45,13.1
22/09/2022,13.35,8.49,0.05(0.38 %),"6,574,500",86.92,"2,500,000",33.5,13.1,13.45,13.1
21/09/2022,13.3,8.46,-0.1(-0.75 %),"4,196,900",55.9,0,0,13.3,13.4,13.2
20/09/2022,13.4,8.52,0.4(3.08 %),"7,566,200",100.12,0,0,13.25,13.45,13
