Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
17/03/2025,19.8,,0(0.00 %),"1,791,700",35.45,0,0,19.9,19.9,19.65
14/03/2025,19.8,,0(0.00 %),"1,681,100",33.14,"9,978,000",210.04,19.8,19.8,19.6
13/03/2025,19.8,,-0.05(-0.25 %),"1,847,300",36.42,0,0,19.85,19.85,19.55
12/03/2025,19.85,,0.05(0.25 %),"1,620,700",31.99,"9,430,000",196.14,19.8,19.9,19.55
11/03/2025,19.8,,0(0.00 %),"1,855,300",36.51,0,0,19.8,19.8,19.45
10/03/2025,19.8,,0.15(0.76 %),"1,858,800",36.68,"10,790,000",223.05,19.7,19.85,19.65
07/03/2025,19.65,,0.2(1.03 %),"1,792,000",34.96,0,0,19.45,19.65,19.3
06/03/2025,19.45,,0(0.00 %),"1,879,100",36.85,0,0,19.5,19.75,19.4
05/03/2025,19.45,,0(0.00 %),"1,802,100",34.95,"1,105,683",21.18,19.45,19.5,19.3
04/03/2025,19.45,,0(0.00 %),"1,911,600",36.98,"16,100,000",312.34,19.15,19.45,19.15
03/03/2025,19.45,,0.05(0.26 %),"1,711,300",33.14,"1,696,000",33.24,19.4,19.6,19.1
28/02/2025,19.4,,-0.1(-0.51 %),"2,261,100",43.51,0,0,19.55,19.55,19.05
27/02/2025,19.5,,0.2(1.04 %),"1,773,800",34.25,0,0,19.3,19.5,19.05
26/02/2025,19.3,,-0.3(-1.53 %),"1,780,700",34.75,0,0,19.7,19.7,19.3
25/02/2025,19.6,,-0.05(-0.25 %),"1,774,600",34.72,0,0,19.65,19.7,19.4
24/02/2025,19.65,,0.1(0.51 %),"2,045,600",39.64,"30,000",0.56,19.3,19.65,19.15
21/02/2025,19.55,,-0.05(-0.26 %),"1,843,000",35.78,0,0,19.5,19.6,19.3
20/02/2025,19.6,,0(0.00 %),"2,215,100",43.23,0,0,19.4,19.75,19.3
19/02/2025,19.6,,-0.15(-0.76 %),"1,772,200",34.83,"9,600,000",189.6,19.6,19.8,19.5
18/02/2025,19.75,,-0.1(-0.50 %),"1,975,300",38.96,"21,824,851",420.05,19.9,19.9,19.6
