Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
04/08/2023,29.2,22.8,0.7(2.46 %),"14,992,000",433.82,58,0,28.5,29.4,28.5
03/08/2023,28.5,22.25,-0.5(-1.72 %),"15,210,400",436.17,87,0,28.95,29.05,28.3
02/08/2023,29,22.64,0.2(0.69 %),"11,458,900",331.03,"800,093",23.44,28.7,29.15,28.6
01/08/2023,28.8,22.48,-0.9(-3.03 %),"16,376,600",479.46,"350,060",9.7,29.7,29.7,28.8
31/07/2023,29.65,23.15,-0.15(-0.50 %),"15,219,300",450.99,"600,097",17.73,29.95,30.2,29.35
28/07/2023,29.75,23.23,0.25(0.85 %),"13,130,200",389.08,"500,049",15.45,29.45,29.9,29.35
27/07/2023,29.45,22.99,0.45(1.55 %),"16,465,600",482.25,"60,055",1.81,29,29.7,28.9
26/07/2023,29,22.64,0.2(0.69 %),"12,780,300",367.72,"67,447",1.94,28.8,29.05,28.4
25/07/2023,28.8,22.48,0.1(0.35 %),"14,449,000",415.98,"700,038",18.73,28.7,29.1,28.5
24/07/2023,28.7,22.41,-0.1(-0.35 %),"14,535,600",418.5,"500,089",14.47,29.1,29.2,28.4
21/07/2023,28.75,22.45,0.75(2.68 %),"16,462,800",465.15,44,0,28,28.8,27.85
20/07/2023,28,21.86,-0.5(-1.75 %),"28,832,600",805.58,"70,015",1.98,28.5,28.5,27.6
19/07/2023,28.5,22.25,-0.1(-0.35 %),"10,046,700",287.28,1,0,28.6,28.9,28.45
18/07/2023,28.55,22.29,-0.25(-0.87 %),"12,415,400",355.1,"463,201",13.25,28.8,28.8,28.45
17/07/2023,28.8,22.48,0.3(1.05 %),"14,468,100",419.17,"200,000",5.32,28.55,29.2,28.55
14/07/2023,28.5,22.25,0.1(0.35 %),"16,102,800",455.29,"2,000,000",55.9,28.5,28.6,27.95
13/07/2023,28.4,22.17,0.4(1.43 %),"16,156,700",456.19,0,0,28.25,28.5,28
12/07/2023,27.95,21.82,-0.15(-0.53 %),"23,044,800",648.92,"2,000,001",55.9,28.3,28.6,27.65
11/07/2023,28.05,21.9,0.55(2.00 %),"27,100,700",756.32,"481,736",13.43,27.4,28.45,27.4
10/07/2023,27.5,21.47,1(3.77 %),"30,633,600",831.65,1,0,26.65,27.5,26.65
