Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
31/10/2023,27,,0(0.00 %),"27,998,300",754.35,0,0,27.1,27.55,26.55
30/10/2023,27,,-1.7(-5.92 %),"21,271,700",593.14,"350,000",10.05,28.75,28.8,27
27/10/2023,28.7,,0.6(2.14 %),"16,878,600",482.6,"1,000,000",28.78,28.55,29.25,28.15
26/10/2023,28.1,,-1.45(-4.91 %),"40,837,400","1,154.05","1,020,000",30.1,29,29.2,27.7
25/10/2023,29.55,,-0.45(-1.50 %),"8,074,600",241.4,"1,000,000",30.3,30,30.2,29.55
24/10/2023,30,,0.3(1.01 %),"11,931,200",357.55,"20,000",0.55,30,30.2,29.75
23/10/2023,29.7,,-0.4(-1.33 %),"13,702,000",406.43,"2,000,005",60.2,29.8,30.1,29.4
20/10/2023,30.1,,1.1(3.79 %),"18,953,900",559.91,"1,550,004",45.69,29,30.3,28.85
19/10/2023,29,,-0.7(-2.36 %),"20,421,700",597.27,6,0,29.5,29.9,28.95
18/10/2023,29.7,,-0.3(-1.00 %),"20,147,600",600.91,10,0,30.1,30.3,29.35
17/10/2023,30,,-0.2(-0.66 %),"11,770,400",356.25,3,0,30.45,30.7,30
16/10/2023,30.2,,-1.3(-4.13 %),"25,870,900",792.54,14,0,31.4,31.45,30.2
13/10/2023,31.5,,-0.1(-0.32 %),"11,308,800",353.57,6,0,31.2,31.6,31
12/10/2023,31.6,,-0.15(-0.47 %),"8,160,500",258.14,"30,005",0.95,31.95,31.95,31.3
11/10/2023,31.75,,0.5(1.60 %),"8,374,300",263.28,6,0,31.25,31.8,31.15
10/10/2023,31.25,,0.05(0.16 %),"11,506,300",362.32,"2,632,205",82.12,31.35,31.65,31.25
09/10/2023,31.2,,0.25(0.81 %),"9,199,800",285.08,"55,911",1.73,30.95,31.3,30.6
06/10/2023,30.95,,1.05(3.51 %),"13,108,100",397.91,"28,004",0.84,29.85,30.95,29.65
05/10/2023,29.9,,-0.3(-0.99 %),"10,308,800",309.65,25,0,30.1,30.35,29.85
04/10/2023,30.2,,1(3.42 %),"20,419,400",608.43,"635,051",17.5,28.9,30.6,28.85
