Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
17/10/2022,25.1,12.17,-0.6(-2.33 %),"7,760,900",193.58,"2,207,900",60.33,25.5,25.5,24.35
14/10/2022,25.7,12.46,0.4(1.58 %),"6,333,400",164.07,"375,000",9.7,26.5,26.5,25.5
13/10/2022,25.3,12.27,0.5(2.02 %),"9,386,700",232.5,0,0,24.8,25.3,24.1
12/10/2022,24.8,12.03,0.8(3.33 %),"9,605,400",237.98,0,0,24,25.4,23.55
11/10/2022,24,11.64,-1.8(-6.98 %),"21,188,700",511.38,"9,126,500",245.82,25.8,25.8,24
10/10/2022,25.8,12.51,-1.5(-5.49 %),"18,275,400",470.85,0,0,25.8,26.95,25.35
07/10/2022,27.25,13.21,-2.05(-7.00 %),"14,349,900",393.73,"13,869,070",430.48,28.9,28.9,27.25
06/10/2022,29.3,14.21,-1.2(-3.93 %),"5,573,700",166.93,0,0,30.5,30.8,29.3
05/10/2022,30.5,14.79,0.2(0.66 %),"3,986,800",122.81,"3,475,300",106.22,31,31.05,30.5
04/10/2022,30.3,14.69,0(0.00 %),"5,966,900",182.22,"1,985,300",60.66,30.8,31,30
03/10/2022,30.25,14.67,-2.25(-6.92 %),"6,076,000",190.36,0,0,32.5,32.6,30.25
30/09/2022,32.5,15.76,-0.5(-1.52 %),"5,240,200",171.27,"1,132,000",38.66,33,33.2,32.2
29/09/2022,33,16,-0.3(-0.90 %),"2,640,300",87.88,"1,480,000",52.61,33.7,33.7,33
28/09/2022,33.25,16.12,-0.25(-0.75 %),"2,069,900",69.14,0,0,33.35,33.7,33.2
27/09/2022,33.5,16.24,0.2(0.60 %),"2,336,300",78.36,"2,715,147",93.19,33.55,33.9,33.2
26/09/2022,33.25,16.12,-0.95(-2.78 %),"5,217,000",173.44,0,0,33.85,33.85,32.95
23/09/2022,34.2,16.58,-0.4(-1.16 %),"2,265,200",77.85,"1,436,000",52.5,34.45,34.6,34.05
22/09/2022,34.55,16.75,0.05(0.14 %),"2,922,800",100.29,0,0,34.3,34.65,34.1
21/09/2022,34.5,16.73,-0.6(-1.71 %),"2,073,000",72.1,0,0,35,35.1,34.5
20/09/2022,35.05,17,-0.05(-0.14 %),"1,989,200",69.75,"932,800",32.91,35.55,35.55,34.9
