Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/05/2021,31.95,12.42,0.95(3.06 %),"7,670,600",239.51,"1,750,000",52.94,30.8,31.95,30.6
11/05/2021,31,12.05,-0.1(-0.32 %),"9,406,500",299.06,"1,236,000",37.19,32,32.2,31
10/05/2021,31.1,12.09,2(6.87 %),"14,127,900",427.93,"4,020,000",113.02,29.1,31.1,29
07/05/2021,29.1,11.31,0.95(3.37 %),"11,689,700",337.15,"4,100,000",111.81,27.9,29.55,27.9
06/05/2021,28.15,10.95,-0.5(-1.75 %),"3,732,900",106.2,0,0,28.45,28.9,28.1
05/05/2021,28.65,11.14,0.65(2.32 %),"5,462,800",155.86,"4,000,000",108.2,28.2,28.8,28.05
04/05/2021,28,10.89,0.6(2.19 %),"4,210,300",116.28,"4,000,000",105.8,26.95,28,26.9
29/04/2021,27.4,10.65,0.15(0.55 %),"6,020,100",164.92,"9,536,000",256.06,27.45,27.8,27.2
28/04/2021,27.25,10.6,0.15(0.55 %),"2,403,800",65.43,"4,000,000",104.8,27,27.45,26.9
27/04/2021,27.1,10.54,-0.05(-0.18 %),"1,963,700",53.37,0,0,27.15,27.45,26.9
26/04/2021,27.15,10.56,-0.85(-3.04 %),"2,466,600",67.82,0,0,28,28,27.1
23/04/2021,28,10.89,1(3.70 %),"3,974,200",108.61,0,0,27.5,28,26.8
22/04/2021,27,10.5,-0.8(-2.88 %),"4,524,000",125.65,0,0,27.8,28.45,27
20/04/2021,27.8,10.81,-0.5(-1.77 %),"4,568,500",128.22,0,0,28.45,28.55,27.65
19/04/2021,28.3,11,0.6(2.17 %),"4,273,500",119.13,0,0,28,28.3,27.4
16/04/2021,27.7,10.77,-1.1(-3.82 %),"9,357,800",261.21,"401,520",11.11,28.4,28.5,27.45
15/04/2021,28.8,11.2,-0.85(-2.87 %),"5,927,900",172.44,0,0,29.65,29.7,28.8
14/04/2021,29.65,11.53,0.05(0.17 %),"4,211,400",123.94,0,0,29.45,29.75,29
13/04/2021,29.6,11.51,0.45(1.54 %),"13,381,000",400.26,0,0,29.35,30.7,29.3
12/04/2021,29.15,11.33,0.35(1.22 %),"7,405,300",214.4,"50,000",1.48,29.1,29.15,28.8
