Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
12/03/2021,95.8,42.01,-0.5(-0.52 %),"1,259,800",120.76,"65,000",6.27,96.3,96.5,94.5
11/03/2021,96.3,42.23,0.8(0.84 %),"1,009,800",97.25,"69,000",6.6,95.8,96.8,95.8
10/03/2021,95.5,41.87,0.5(0.53 %),"1,063,900",101.04,"26,000",2.52,95,95.8,94
09/03/2021,95,41.66,-0.2(-0.21 %),"1,344,300",126.69,"105,000",10.09,95,95,93.1
08/03/2021,95.2,41.74,-1.2(-1.24 %),"1,501,800",143.7,"20,000",1.91,97,97,95
05/03/2021,96.4,42.27,-0.9(-0.92 %),"1,661,600",159.92,"76,000",7.36,97.1,97.2,95
04/03/2021,97.3,42.66,-1.1(-1.12 %),"1,118,100",109.49,"65,000",6.2,98.6,99.5,93.1
03/03/2021,98.4,43.15,-0.9(-0.91 %),"915,600",90.33,"49,860",4.92,98.3,99.4,98.2
02/03/2021,99.3,43.54,0.1(0.10 %),"1,189,600",118.92,"56,100",5.57,100,101.8,98
01/03/2021,99.2,43.5,1(1.02 %),"911,200",89.81,"65,000",6.38,98.2,99.3,98.2
26/02/2021,98.2,43.06,0(0.00 %),"1,070,700",104.49,"20,720",2.01,97.3,99,97
25/02/2021,98.2,43.06,0.1(0.10 %),"896,100",88.13,"26,000",2.65,99,99.5,97.6
24/02/2021,98.1,43.01,-1.9(-1.90 %),"1,265,300",125.74,"65,000",6.54,100.5,101,96.5
23/02/2021,100,43.85,-0.6(-0.60 %),"1,441,400",143.87,0,0,100,101,99.2
22/02/2021,100.6,44.11,-0.7(-0.69 %),"1,388,700",140.52,0,0,100.5,102,100.3
19/02/2021,101.3,44.42,-0.7(-0.69 %),"1,851,200",186.41,"91,000",9.33,99.2,101.7,99.1
18/02/2021,102,44.72,2(2.00 %),"1,688,900",168.68,0,0,99,102,98
17/02/2021,100,43.85,2.8(2.88 %),"1,054,100",104.05,0,0,97.5,100,97.5
09/02/2021,97.2,42.62,3.1(3.29 %),"2,978,900",280.35,0,0,97.2,97.4,93.1
08/02/2021,94.1,41.26,-5.9(-5.90 %),"2,902,200",276.5,0,0,94.1,99.8,93.1
