Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
25/06/2024,37.8,,0.35(0.93 %),"6,350,100",239.49,"100,000",3.75,37.3,38.05,37.2
24/06/2024,37.45,,-0.3(-0.79 %),"7,671,000",288.22,"3,576,900",137.99,37.75,38.2,37.1
21/06/2024,37.75,,-0.25(-0.66 %),"13,031,100",490.65,0,0,37.75,37.8,37.45
20/06/2024,38,,0(0.00 %),"7,587,500",286.22,"230,000",8.74,37.9,38,37.55
19/06/2024,38,,-0.3(-0.78 %),"7,996,800",303.27,0,0,38.3,38.35,37.75
18/06/2024,38.3,,0(0.00 %),"6,588,500",252.48,"1,380,000",55.2,38.5,38.5,38.2
17/06/2024,38.3,,0.1(0.26 %),"8,594,600",327.62,0,0,38.25,38.5,37.9
14/06/2024,38.2,,-0.05(-0.13 %),"8,589,700",329.6,"20,000",0.78,38.4,38.85,38.05
13/06/2024,38.25,,-0.25(-0.65 %),"5,989,600",229.39,"185,500",6.75,38.55,38.7,38.1
12/06/2024,38.5,,0.35(0.92 %),"12,376,600",469.99,"1,565,000",61.04,38.15,38.85,37.7
11/06/2024,38.15,,-0.75(-1.93 %),"14,398,100",552.71,"35,000",1.36,38.9,38.95,38.15
10/06/2024,38.9,,-0.1(-0.26 %),"6,320,000",246.44,"1,565,000",61.04,39.15,39.2,38.85
07/06/2024,39,,-0.05(-0.13 %),"4,519,500",176.58,0,0,39.3,39.3,39
06/06/2024,39.05,,-0.25(-0.64 %),"5,109,000",200.36,0,0,39.4,39.6,39
05/06/2024,39.3,,-0.1(-0.25 %),"6,216,300",245.52,"7,698,000",303.31,39.55,39.9,39.3
04/06/2024,39.4,,0.1(0.25 %),"7,955,300",316.27,0,0,39.4,40.2,39.4
03/06/2024,39.3,,0.45(1.16 %),"5,242,000",205.9,0,0,39.2,39.4,39.1
31/05/2024,38.85,,-0.15(-0.38 %),"5,851,700",228.94,"15,333,034",628.65,39.2,39.65,38.85
30/05/2024,39,,-0.45(-1.14 %),"6,423,700",251.57,0,0,39.45,39.5,39
29/05/2024,39.45,,-0.5(-1.25 %),"8,030,400",318.74,"122,000",4.88,40,40.1,39.45
