Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
18/08/2022,68.1,,0.8(1.19 %),"2,769,100",190.22,"23,000",1.45,67.2,69.3,67.2
17/08/2022,67.3,,1.4(2.12 %),"2,201,000",147.63,0,0,66.2,67.8,66
16/08/2022,65.9,,-0.5(-0.75 %),"862,200",56.84,0,0,66.4,66.4,65.7
15/08/2022,66.4,,0.2(0.30 %),"802,100",53.15,0,0,66.3,66.5,66.1
12/08/2022,66.2,,0.4(0.61 %),"811,200",53.48,0,0,65.8,66.2,65.5
11/08/2022,65.8,,1(1.54 %),"1,674,000",110.03,0,0,65.6,66.4,65
10/08/2022,64.8,,-0.5(-0.77 %),"967,900",62.84,0,0,65,65.6,64.7
09/08/2022,65.3,,0.7(1.08 %),"792,000",51.5,0,0,64.8,65.4,64.7
08/08/2022,64.6,,-0.8(-1.22 %),"1,010,300",65.65,0,0,65.4,65.7,64.6
05/08/2022,65.4,,-1(-1.51 %),"1,134,900",74.41,0,0,65.9,66.2,65.2
04/08/2022,66.4,,0.4(0.61 %),"1,146,000",75.53,0,0,66,66.4,65.4
03/08/2022,66,,-0.6(-0.90 %),"1,250,700",82.16,0,0,65.8,66.4,65.1
02/08/2022,66.6,,1.9(2.94 %),"1,372,600",89.72,0,0,64.8,66.6,64.5
01/08/2022,64.7,,0.7(1.09 %),"1,261,800",81.52,"20,023",1.29,64.9,65.1,64.1
29/07/2022,64,,-3(-4.48 %),"1,908,500",124.12,0,0,67.8,67.8,64
28/07/2022,67,,0.5(0.75 %),"1,152,200",76.67,0,0,66.6,67.1,66
27/07/2022,66.5,,0.4(0.61 %),"581,400",38.63,0,0,66.2,66.8,66
26/07/2022,66.1,,-1.2(-1.78 %),"592,700",39.64,"50,000",3.35,66.1,67.6,66.1
25/07/2022,67.3,,0.8(1.20 %),"755,800",50.64,0,0,66.9,67.4,66.5
22/07/2022,66.5,,-2(-2.92 %),"674,700",45.47,0,0,68.1,68.5,66.5
