Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
28/02/2024,103.4,,-0.1(-0.10 %),"638,600",66.22,"120,000",13.26,103.5,104.7,103.3
27/02/2024,103.5,,-1(-0.96 %),"647,800",67.3,0,0,104.8,104.8,103.5
26/02/2024,104.5,,0.7(0.67 %),"605,600",63.22,0,0,103.9,104.9,103.9
23/02/2024,103.8,,0.2(0.19 %),"670,800",69.66,0,0,103.8,104.4,103.4
22/02/2024,103.6,,0.4(0.39 %),"621,400",64.51,0,0,103.2,104.7,103.2
21/02/2024,103.2,,-1.1(-1.05 %),"657,500",68.23,0,0,104.3,104.5,103.2
20/02/2024,104.3,,-0.9(-0.86 %),"648,500",67.92,0,0,105,105.2,104.3
19/02/2024,105.2,,-0.1(-0.09 %),"615,500",64.64,"715,000",75.29,105.9,106,104.4
16/02/2024,105.3,,0.8(0.77 %),"635,300",66.59,"50,000",5.55,104.5,105.3,104.4
15/02/2024,104.5,,-0.8(-0.76 %),"690,700",72.35,0,0,105.4,105.5,104
07/02/2024,105.3,,0.8(0.77 %),"615,700",64.5,0,0,104.7,105.3,104.3
06/02/2024,104.5,,-0.8(-0.76 %),"617,500",64.74,"1,068,000",110.92,105.5,105.5,104.5
05/02/2024,105.3,,0.5(0.48 %),"670,500",70.04,"200,000",20.96,104.8,105.4,103.8
02/02/2024,104.8,,-0.7(-0.66 %),"622,500",65.39,0,0,105.7,105.7,104.4
01/02/2024,105.5,,0.9(0.86 %),"610,800",63.82,"160,000",16.74,104.6,105.5,104
31/01/2024,104.6,,-1(-0.95 %),"644,900",67.5,"690,000",72.86,105.6,105.8,103.6
30/01/2024,105.6,,-0.2(-0.19 %),"622,500",65.84,0,0,105.9,106,105.5
29/01/2024,105.8,,0.1(0.09 %),"621,300",65.65,"1,043,000",110.25,105.9,106,105.3
26/01/2024,105.7,,0.8(0.76 %),"678,600",71.28,0,0,104.5,105.8,104.5
25/01/2024,104.9,,0.2(0.19 %),"615,200",64.46,0,0,104.8,105,104.5
