Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
19/09/2022,75.2,67.18,-0.8(-1.05 %),"1,418,000",106.83,0,0,75.6,75.7,74.9
16/09/2022,76,67.89,1.5(2.01 %),"2,308,600",174.07,0,0,74.7,76,74.4
15/09/2022,74.5,66.55,0.5(0.68 %),"1,207,500",90.02,0,0,74.1,75.2,74.1
14/09/2022,74,66.11,-1.7(-2.25 %),"2,037,900",151.43,0,0,74.9,75,73.8
13/09/2022,75.7,67.62,0.4(0.53 %),"1,556,500",117.74,0,0,75.2,76,75.2
12/09/2022,75.3,67.27,-0.6(-0.79 %),"1,386,100",104.89,0,0,76,76.2,75.3
09/09/2022,75.9,67.8,0.2(0.26 %),"1,188,500",90.37,0,0,75.9,76.5,75.5
08/09/2022,75.7,67.62,0(0.00 %),"1,351,100",102.46,0,0,76,76.5,75.2
07/09/2022,75.7,67.62,-2.1(-2.70 %),"2,916,400",224.46,0,0,77.8,77.8,75.7
06/09/2022,77.8,69.5,0.3(0.39 %),"2,649,000",207,"20,000",1.55,77.5,79,77.3
05/09/2022,77.5,69.23,2(2.65 %),"3,169,400",242.61,0,0,75.5,77.8,75.5
31/08/2022,75.5,67.45,-0.5(-0.66 %),"1,657,100",125.84,"20,000",1.52,75.9,76.4,75.5
30/08/2022,76,67.89,0.5(0.66 %),"2,234,900",169.75,"40,176",3.05,75.5,76.4,75.5
29/08/2022,75.5,67.45,-1.4(-1.82 %),"3,311,500",250.86,"20,464",1.47,76.1,76.3,75.4
26/08/2022,76.9,68.7,-1(-1.28 %),"2,463,000",189.78,0,0,77.8,78.1,76.2
25/08/2022,77.9,69.59,0.2(0.26 %),"2,182,100",169.61,0,0,77.9,78.3,77
24/08/2022,77.7,69.41,1.9(2.51 %),"5,443,600",421.26,"625,500",49.07,75.8,78.3,75.8
23/08/2022,75.8,67.71,2.1(2.85 %),"4,551,200",339.74,0,0,73.7,75.9,73.6
22/08/2022,73.7,65.84,-0.4(-0.54 %),"2,071,700",153.71,"100,000",7.25,74.1,74.8,73.7
19/08/2022,74.1,66.2,0.7(0.95 %),"5,225,600",387.58,"126,000",9.05,73.4,74.5,72.9
