Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
04/08/2021,60.5,20.28,-0.3(-0.49 %),"8,030,500",487.76,"170,000",10.53,60.7,61.2,60.4
03/08/2021,60.8,20.38,0.4(0.66 %),"8,690,200",526.09,0,0,60.2,60.9,60.2
02/08/2021,60.4,20.25,-0.6(-0.98 %),"7,576,200",461.95,0,0,61.5,61.5,60.4
30/07/2021,61,20.45,3.3(5.72 %),"15,637,500",936.2,0,0,58,61,57.7
29/07/2021,57.7,19.34,1.4(2.49 %),"8,593,600",494.62,"20,000",1.06,58,58.2,57
28/07/2021,56.3,18.87,-0.7(-1.23 %),"4,633,700",262.94,0,0,56.6,57.1,56.3
27/07/2021,57,19.11,0.3(0.53 %),"12,908,100",739.64,0,0,57.8,58.3,56.6
26/07/2021,56.7,19.01,-1.8(-3.08 %),"9,337,800",534.51,"150,000",9.32,58,58.4,56.5
23/07/2021,58.5,19.61,-2.3(-3.78 %),"11,176,300",671.24,"30,000",1.82,60.7,61,58.5
22/07/2021,60.8,20.38,0.5(0.83 %),"6,636,500",402.65,"100,000",6.45,60.3,61.3,59.7
21/07/2021,60.3,20.22,-0.3(-0.50 %),"7,778,100",474.49,"20,000",1.3,61,61.7,60.3
20/07/2021,60.6,20.32,0.6(1.00 %),"11,652,900",697.47,0,0,60,61,58.5
19/07/2021,60,20.12,-4.5(-6.98 %),"17,012,800","1,048.14","376,700",25.5,62.4,63,60
16/07/2021,64.5,21.62,0.5(0.78 %),"15,478,800","1,001.49","20,000",1.3,65,65.3,64.3
15/07/2021,64,21.46,2.5(4.07 %),"17,772,800","1,128.18",0,0,61.6,65.7,61
14/07/2021,61.5,20.62,-2.5(-3.91 %),"22,403,200","1,389.8","36,000",2.18,63.5,64,60.1
13/07/2021,64,21.46,0(0.00 %),"17,823,800","1,138","40,000",2.68,64.4,65,61.8
12/07/2021,64,21.46,-4.8(-6.98 %),"22,323,700","1,455.8","30,000",2.09,68.4,68.5,64
09/07/2021,68.8,23.07,-0.5(-0.72 %),"21,204,600","1,462.21",0,0,68.7,70.3,67
08/07/2021,69.3,23.23,-1.4(-1.98 %),"19,600,100","1,377.5",0,0,70.8,71.2,69.3
