Ngày,Giá (nghìn VNĐ) - Đóng cửa,Giá (nghìn VNĐ) - Điều chỉnh,Thay đổi,GD khớp lệnh - Khối lượng,GD khớp lệnh - Giá trị (tỷ VNĐ),GD thỏa thuận - Khối lượng,GD thỏa thuận - Giá trị (tỷ VNĐ),Giá (nghìn VNĐ) - Mở cửa,Giá (nghìn VNĐ) - Cao nhất,Giá (nghìn VNĐ) - Thấp nhất
19/09/2022,29.1,,-0.8(-2.68 %),"1,602,700",46.55,0,0,29.25,29.35,28.8
16/09/2022,29.85,,0.95(3.29 %),"2,870,500",84.62,0,0,28.85,29.85,28.2
15/09/2022,28.85,,0.35(1.23 %),"1,092,600",31.39,"240,000",6.87,28.6,29,28.3
14/09/2022,28.5,,0.1(0.35 %),"1,332,600",37.67,0,0,28.35,28.7,27.95
13/09/2022,28.35,,-0.45(-1.56 %),"1,872,600",54.17,0,0,28.85,29.2,28.35
12/09/2022,28.75,,1.25(4.55 %),"1,871,600",53.24,0,0,27.65,28.8,27.65
09/09/2022,27.5,,0.1(0.36 %),"1,270,000",34.81,"212,000",5.79,27.8,27.8,27.2
08/09/2022,27.4,,-0.3(-1.08 %),"1,027,300",28.36,0,0,27.65,27.95,27.4
07/09/2022,27.65,,-0.45(-1.60 %),"1,875,900",52.48,0,0,27.9,28.25,27.6
06/09/2022,28.05,,0.45(1.63 %),"1,803,100",50.05,0,0,27.6,28.05,27.45
05/09/2022,27.55,,-0.15(-0.54 %),"1,465,000",40.58,"5,385,000",149.16,27.75,28,27.55
31/08/2022,27.7,,-0.7(-2.46 %),"2,062,000",57.62,0,0,28.1,28.4,27.7
30/08/2022,28.4,,0(0.00 %),"885,800",25.28,0,0,28.4,28.8,28.3
29/08/2022,28.4,,-0.5(-1.73 %),"1,941,200",54.58,"5,190,000",149.73,28.1,28.6,27.85
26/08/2022,28.85,,-0.35(-1.20 %),"954,300",27.74,"68,100",1.97,29.2,29.35,28.85
25/08/2022,29.2,,0.6(2.10 %),"1,130,400",32.62,0,0,28.5,29.2,28.5
24/08/2022,28.6,,-0.3(-1.04 %),"1,569,100",44.89,"6,231,000",179.76,28.9,28.9,28.55
23/08/2022,28.85,,-0.25(-0.86 %),"1,847,800",52.89,0,0,28.5,29,28.35
22/08/2022,29.05,,-0.25(-0.85 %),"1,382,200",39.71,0,0,29.15,29.3,28.45
19/08/2022,29.3,,-0.3(-1.01 %),"2,504,000",72.85,"100,000",2.91,29.1,29.6,28.65
