Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
19/06/2024,24.65 ( 0.41 %),"5,765","13,756,300","2,386.18","3,407","13,145,900","3,858","610,400"
18/06/2024,24.55 ( 0 %),"3,875","10,653,200","2,749.21","4,738","11,857,400","2,503","-1,204,200"
17/06/2024,24.55 ( -0.2 %),"5,281","12,751,800","2,414.66","3,192","11,298,300","3,540","1,453,500"
14/06/2024,24.6 ( -0.81 %),"7,511","18,650,500","2,483.09","5,969","24,318,000","4,074","-5,667,500"
13/06/2024,24.8 ( 1.02 %),"6,862","20,398,900","2,972.73","6,558","23,629,400","3,603","-3,230,500"
12/06/2024,24.55 ( 1.66 %),"8,766","19,759,100","2,254.06","3,781","16,359,200","4,327","3,399,900"
11/06/2024,24.15 ( -1.02 %),"7,830","16,386,800","2,092.82","3,461","16,430,500","4,747","-43,700"
10/06/2024,24.4 ( -0.81 %),"6,463","12,798,700","1,980.3","2,976","14,314,600","4,810","-1,515,900"
07/06/2024,24.6 ( 1.03 %),"4,005","11,264,700","2,812.66","3,993","11,748,500","2,942","-483,800"
06/06/2024,24.35 ( 0 %),"5,747","15,438,300","2,686.32","3,212","15,007,100","4,672","431,200"
05/06/2024,24.35 ( -0.61 %),"6,864","16,982,700","2,474.17","3,577","18,889,300","5,281","-1,906,600"
04/06/2024,24.5 ( -1.21 %),"8,110","15,955,300","1,967.36","3,651","17,344,100","4,751","-1,388,800"
03/06/2024,24.8 ( 0.61 %),"8,142","22,840,500","2,805.27","3,273","22,381,200","6,838","459,300"
31/05/2024,24.65 ( -0.2 %),"9,295","18,966,400","2,040.49","4,583","20,234,700","4,415","-1,268,300"
30/05/2024,29.4 ( 0.51 %),"8,031","26,623,500","3,315.09","5,401","21,301,700","3,944","5,321,800"
29/05/2024,29.25 ( -1.35 %),"6,535","20,370,000","3,117.06","5,855","23,261,500","3,973","-2,891,500"
28/05/2024,29.65 ( 0.68 %),"6,432","23,360,900","3,631.98","5,656","18,977,800","3,355","4,383,100"
27/05/2024,29.45 ( 0.68 %),"4,723","14,571,200","3,085.16","4,451","15,503,300","3,483","-932,100"
24/05/2024,29.25 ( 2.81 %),"15,885","67,348,100","4,239.73","13,326","52,863,400","3,967","14,484,700"
23/05/2024,28.45 ( 1.79 %),"4,129","20,399,700","4,940.59","5,115","18,108,000","3,540","2,291,700"
