Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
22/02/2024,65.1 ( -1.06 %),"1,557","2,152,800","1,382.66","2,089","2,818,800","1,349","-666,000"
21/02/2024,65.8 ( 3.13 %),"1,728","3,185,800","1,843.63","2,721","2,891,000","1,062","294,800"
20/02/2024,63.8 ( -0.78 %),"1,146","1,075,300",938.31,"1,214","1,193,000",983,"-117,700"
19/02/2024,64.3 ( 1.1 %),"1,847","1,828,700",990.09,"1,765","1,670,100",946,"158,600"
16/02/2024,63.6 ( -0.16 %),"1,157","1,302,700","1,125.93",945,"1,212,300","1,283","90,400"
15/02/2024,63.7 ( -0.47 %),691,"747,000","1,081.04",590,"910,000","1,542","-163,000"
07/02/2024,64 ( 0.31 %),0,0,0,0,0,0,0
06/02/2024,63.8 ( 0.47 %),928,"1,013,200","1,091.81",883,"1,197,200","1,356","-184,000"
05/02/2024,63.5 ( -1.55 %),"1,121","1,049,200",935.95,955,"1,682,800","1,762","-633,600"
02/02/2024,64.5 ( -2.27 %),"1,259","1,412,200","1,121.68","1,096","1,927,700","1,759","-515,500"
01/02/2024,66 ( 1.07 %),902,"1,437,800","1,594.01","1,446","1,799,900","1,245","-362,100"
31/01/2024,65.3 ( 0 %),"1,022","1,521,600","1,488.85","1,577","1,794,500","1,138","-272,900"
30/01/2024,65.3 ( 5.15 %),"2,031","3,465,500","1,706.3","2,977","2,875,100",966,"590,400"
29/01/2024,62.1 ( 0.49 %),612,"1,055,300","1,724.35","1,339","1,259,100",940,"-203,800"
26/01/2024,61.8 ( 0.32 %),866,"1,176,700","1,358.78","1,292","1,546,300","1,197","-369,600"
25/01/2024,61.6 ( -0.65 %),"1,292","1,193,800",923.99,"1,219","1,382,300","1,134","-188,500"
24/01/2024,62 ( 0 %),675,"851,100","1,260.89","1,509","1,430,400",948,"-579,300"
23/01/2024,62 ( 1.31 %),"1,040","1,583,900","1,522.98","2,053","1,877,700",915,"-293,800"
22/01/2024,61.2 ( 0 %),874,"862,800",987.19,"1,337","1,164,900",871,"-302,100"
19/01/2024,61.2 ( 1.49 %),754,"1,437,500","1,906.5","1,617","1,895,900","1,172","-458,400"
