Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
02/03/2021,44.05 ( -0.11 %),"1,778","326,050",183.38,"2,370","392,590",166,"-66,540"
01/03/2021,44.1 ( 1.15 %),"2,267","4,921,200","2,170.8","2,214","3,555,800","1,606","1,365,400"
26/02/2021,43.6 ( 1.51 %),"2,240","3,566,000","1,591.96","1,339","2,245,900","1,677","1,320,100"
25/02/2021,42.95 ( -0.23 %),"2,882","3,946,000","1,369.19","1,463","3,118,400","2,132","827,600"
24/02/2021,43.05 ( -2.16 %),"2,222","3,034,500","1,365.66","1,722","3,415,300","1,983","-380,800"
23/02/2021,44 ( 0.57 %),"1,795","2,872,000","1,600","1,753","2,988,500","1,705","-116,500"
22/02/2021,43.75 ( -0.79 %),"1,424","2,317,500","1,627.46","2,085","3,467,800","1,663","-1,150,300"
19/02/2021,44.1 ( 1.61 %),"1,794","3,845,900","2,143.76","2,736","4,147,800","1,516","-301,900"
18/02/2021,43.4 ( 3.09 %),"2,179","4,430,400","2,033.23","2,637","4,206,000","1,595","224,400"
17/02/2021,42.1 ( 3.19 %),"1,583","2,911,500","1,839.23","1,589","2,669,700","1,680","241,800"
09/02/2021,40.8 ( 1.75 %),"2,060","292,840",142.16,"1,971","256,050",130,"36,790"
08/02/2021,40.1 ( -4.07 %),"2,981","310,000",103.99,"2,130","317,330",149,"-7,330"
05/02/2021,41.8 ( 0.72 %),"1,319","2,161,300","1,638.59","1,447","2,581,500","1,784","-420,200"
04/02/2021,41.5 ( 0.36 %),"1,600","2,486,300","1,553.94","1,462","2,424,700","1,658","61,600"
03/02/2021,41.35 ( 5.08 %),"2,105","4,554,200","2,163.52","1,846","2,791,700","1,512","1,762,500"
02/02/2021,39.35 ( 0.64 %),"2,366","6,009,500","2,539.94","1,637","3,778,200","2,308","2,231,300"
01/02/2021,39.1 ( -2.01 %),"2,017","2,816,300","1,396.28","1,816","3,291,600","1,813","-475,300"
29/01/2021,39.9 ( 3.77 %),"2,869","7,362,000","2,566.05","2,113","4,150,800","1,964","3,211,200"
28/01/2021,38.45 ( -6.9 %),"2,681","3,411,600","1,272.51","2,245","6,712,800","2,990","-3,301,200"
27/01/2021,41.3 ( -2.94 %),"2,891","4,211,000","1,456.59","1,856","3,785,000","2,039","426,000"
