Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
11/12/2024,52.2 ( -0.76 %),882,"1,289,800","1,462.36",911,"1,216,600","1,335","73,200"
10/12/2024,52.6 ( 1.74 %),"1,253","2,522,500","2,013.17","1,386","2,031,700","1,466","490,800"
09/12/2024,51.7 ( -0.58 %),"1,112","1,702,400","1,530.94",741,"1,644,600","2,219","57,800"
06/12/2024,52 ( 0.19 %),"1,231","1,834,500","1,490.25","1,270","1,722,200","1,356","112,300"
05/12/2024,51.9 ( -0.19 %),"1,286","2,187,100","1,700.7","1,574","2,432,300","1,545","-245,200"
04/12/2024,52 ( -0.19 %),"1,402","1,986,600","1,416.98","1,248","2,423,000","1,942","-436,400"
03/12/2024,52.1 ( 6.33 %),"1,744","3,686,300","2,113.7","1,687","2,339,100","1,387","1,347,200"
02/12/2024,49 ( 3.16 %),"1,272","3,165,000","2,488.21","1,512","2,573,600","1,702","591,400"
29/11/2024,47.5 ( 6.98 %),"1,440","3,956,400","2,747.5","1,613","2,255,800","1,399","1,700,600"
28/11/2024,44.4 ( -0.11 %),404,"583,500","1,444.31",858,"1,005,300","1,172","-421,800"
27/11/2024,44.45 ( 0.45 %),652,"529,700",812.42,563,"755,700","1,342","-226,000"
26/11/2024,44.25 ( 0 %),406,"457,000","1,125.62",612,"844,200","1,379","-387,200"
25/11/2024,44.25 ( 0.11 %),595,"768,300","1,291.26",947,"1,064,600","1,124","-296,300"
22/11/2024,44.2 ( 0 %),569,"590,700","1,038.14",629,"699,200","1,112","-108,500"
21/11/2024,44.2 ( 1.38 %),522,"507,900",972.99,527,"416,600",791,"91,300"
20/11/2024,43.6 ( 0.23 %),392,"489,100","1,247.7",482,"463,200",961,"25,900"
19/11/2024,43.5 ( 1.64 %),581,"624,400","1,074.7",908,"842,900",928,"-218,500"
18/11/2024,43.8 ( -1.35 %),626,"449,000",717.25,652,"670,500","1,028","-221,500"
14/11/2024,44.35 ( -1.88 %),489,"393,800",805.32,579,"647,700","1,119","-253,900"
13/11/2024,0 ( 0 %),727,"585,400",805.23,776,"701,700",904,"-116,300"
