Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
30/06/2023,29.5 ( -1.34 %),"2,147","11,297,000","5,261.76","2,124","11,268,200","5,305","28,800"
29/06/2023,29.9 ( -0.33 %),"2,644","9,059,000","3,426.25","2,775","10,023,200","3,612","-964,200"
28/06/2023,30 ( 2.04 %),"3,245","17,220,400","5,306.75","5,299","14,220,400","2,684","3,000,000"
27/06/2023,29.35 ( 0.17 %),"1,869","6,726,900","3,599.2","2,072","7,121,400","3,437","-394,500"
26/06/2023,29.25 ( -0.17 %),"2,800","11,486,200","4,102.21","2,545","10,354,500","4,069","1,131,700"
23/06/2023,29.25 ( -0.85 %),0,0,0,0,0,0,0
22/06/2023,29.45 ( 1.03 %),"1,908","7,932,400","4,157.44","4,521","13,317,800","2,946","-5,385,400"
21/06/2023,29.15 ( -0.17 %),"2,052","8,140,100","3,966.91","3,498","10,870,400","3,108","-2,730,300"
20/06/2023,29.2 ( 2.1 %),"1,361","5,161,100","3,792.14","1,660","4,718,900","2,843","442,200"
19/06/2023,28.6 ( 0.35 %),"1,596","6,879,200","4,310.28","2,169","6,680,000","3,080","199,200"
16/06/2023,28.5 ( -1.72 %),"3,945","10,238,500","2,595.31","3,667","15,963,600","4,353","-5,725,100"
15/06/2023,29 ( 1.05 %),"2,448","11,713,200","4,784.8","5,619","15,441,800","2,748","-3,728,600"
14/06/2023,28.7 ( 1.41 %),"2,816","17,147,100","6,089.17","5,784","17,560,000","3,036","-412,900"
13/06/2023,28.3 ( -0.35 %),"2,089","6,625,900","3,171.8","2,129","7,608,900","3,574","-983,000"
12/06/2023,28.4 ( 0.18 %),"3,735","9,308,500","2,492.24","2,093","8,800,200","4,205","508,300"
09/06/2023,28.35 ( -0.7 %),"2,774","9,899,500","3,568.67","4,352","11,055,700","2,540","-1,156,200"
08/06/2023,28.55 ( -1.21 %),"3,946","8,853,300","2,243.61","3,587","10,009,200","2,790","-1,155,900"
07/06/2023,28.9 ( 0.7 %),"3,487","10,264,400","2,943.62","4,759","12,682,500","2,665","-2,418,100"
06/06/2023,28.7 ( -0.17 %),"1,604","8,317,900","5,185.72","4,131","11,991,600","2,903","-3,673,700"
05/06/2023,28.75 ( 0.35 %),"3,021","7,625,600","2,524.2","4,751","10,699,200","2,252","-3,073,600"
