Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
02/03/2021,77.9 ( 0 %),"2,876","306,090",106.43,"2,818","441,950",157,"-135,860"
01/03/2021,77.9 ( 2.23 %),"3,183","4,960,800","1,558.53","3,086","3,962,800","1,284","998,000"
26/02/2021,76.2 ( 0 %),"4,513","4,593,600","1,017.86","1,856","3,184,500","1,716","1,409,100"
25/02/2021,76.2 ( 1.06 %),"3,562","3,826,300","1,074.2","2,237","3,524,000","1,575","302,300"
24/02/2021,75.4 ( -0.13 %),"3,932","3,845,100",977.9,"2,165","3,950,300","1,825","-105,200"
23/02/2021,75.5 ( -1.69 %),"5,456","5,102,000",935.12,"2,252","4,878,300","2,166","223,700"
22/02/2021,76.8 ( 0.26 %),"3,732","3,699,900",991.4,"2,594","3,848,700","1,484","-148,800"
19/02/2021,76.6 ( -2.05 %),"6,116","6,007,300",982.23,"2,368","6,136,100","2,591","-128,800"
18/02/2021,78.2 ( 0.39 %),"3,867","4,024,500","1,040.73","2,718","4,718,100","1,736","-693,600"
17/02/2021,77.9 ( 4.42 %),"3,218","4,547,600","1,413.18","3,150","6,188,600","1,965","-1,641,000"
09/02/2021,74.6 ( 4.63 %),"3,963","724,310",182.77,"3,197","600,090",188,"124,220"
08/02/2021,71.3 ( -2.19 %),"5,722","656,450",114.72,"2,882","591,550",205,"64,900"
05/02/2021,72.9 ( 0.55 %),"3,045","3,631,800","1,192.71","2,930","5,088,000","1,737","-1,456,200"
04/02/2021,72.5 ( 3.57 %),"3,879","7,879,400","2,031.3","4,290","7,680,900","1,790","198,500"
03/02/2021,70 ( 6.06 %),"3,581","6,690,900","1,868.44","4,499","6,643,000","1,477","47,900"
02/02/2021,66 ( 3.94 %),"2,472","4,726,300","1,911.93","2,729","4,611,300","1,690","115,000"
01/02/2021,63.5 ( 1.28 %),"2,899","3,586,700","1,237.22","2,029","3,635,500","1,792","-48,800"
29/01/2021,62.7 ( 7 %),"4,911","8,883,400","1,808.88","1,883","3,776,100","2,005","5,107,300"
28/01/2021,58.6 ( -6.98 %),"4,673","6,746,500","1,443.72","3,684","9,324,700","2,531","-2,578,200"
27/01/2021,63 ( -4.55 %),"2,854","3,543,200","1,241.49","1,853","4,305,900","2,324","-762,700"
