Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
22/02/2024,77.9 ( 0.26 %),"1,671","2,173,400","1,300.66","1,866","2,478,300","1,328","-304,900"
21/02/2024,77.7 ( -1.15 %),"2,322","2,055,800",885.36,"1,305","1,996,200","1,530","59,600"
20/02/2024,78.6 ( -0.88 %),"1,949","2,037,800","1,045.56","1,757","2,351,800","1,339","-314,000"
19/02/2024,79.3 ( 3.52 %),"2,540","5,976,400","2,352.91","3,533","3,844,000","1,088","2,132,400"
16/02/2024,76.6 ( 1.19 %),"1,406","2,262,000","1,608.82","1,825","2,203,600","1,207","58,400"
15/02/2024,75.7 ( 0 %),"1,041","1,122,900","1,078.67","1,061","1,121,500","1,057","1,400"
07/02/2024,75.7 ( 0 %),0,0,0,0,0,0,0
06/02/2024,75.7 ( 0.66 %),"1,051","1,436,700","1,366.98","1,898","1,397,700",736,"39,000"
05/02/2024,75.2 ( 0 %),"1,492","1,270,400",851.47,"1,334","1,139,200",854,"131,200"
02/02/2024,75.2 ( -0.4 %),"1,694","1,318,900",778.57,"1,320","1,386,800","1,051","-67,900"
01/02/2024,75.5 ( 0.13 %),"1,455","1,065,900",732.58,867,"1,018,600","1,175","47,300"
31/01/2024,75.4 ( -1.31 %),"1,432","1,101,200",768.99,"1,193","1,318,300","1,105","-217,100"
30/01/2024,76.4 ( -0.26 %),"1,115","981,600",880.36,"1,045","1,143,800","1,095","-162,200"
29/01/2024,76.6 ( 1.86 %),"1,851","1,709,900",923.77,"1,755","1,945,600","1,109","-235,700"
26/01/2024,75.2 ( -0.27 %),"1,721","1,300,000",755.37,957,"1,595,800","1,668","-295,800"
25/01/2024,75.4 ( -0.53 %),"1,564","1,194,000",763.43,762,"1,252,400","1,644","-58,400"
24/01/2024,75.8 ( -0.39 %),"1,312","845,300",644.28,"1,058","1,217,000","1,150","-371,700"
23/01/2024,76.1 ( -0.26 %),"1,268","1,499,600","1,182.65","1,535","1,531,700",998,"-32,100"
22/01/2024,76.3 ( -0.52 %),"1,227","1,080,200",880.36,"1,021","1,242,200","1,217","-162,000"
19/01/2024,76.7 ( 1.86 %),"1,521","1,939,900","1,275.41","1,888","2,063,800","1,093","-123,900"
