Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
08/11/2022,13.05 ( 4.4 %),"1,149","2,476,000","2,154.92",951,"2,138,500","2,249","337,500"
07/11/2022,12.45 ( -7.09 %),"1,579","2,591,400","1,641.17","1,075","3,270,600","3,042","-679,200"
04/11/2022,13.35 ( -6.64 %),"1,950","2,986,800","1,531.69",910,"3,208,100","3,525","-221,300"
03/11/2022,14.25 ( 0.35 %),"1,617","3,015,700","1,865",858,"2,236,000","2,606","779,700"
02/11/2022,14.2 ( -2.07 %),"1,200","2,120,600","1,767.17",964,"2,868,100","2,975","-747,500"
01/11/2022,14.5 ( 0.69 %),"1,310","2,484,800","1,896.79","1,264","2,677,000","2,118","-192,200"
31/10/2022,14.4 ( -0.69 %),"1,059","2,383,900","2,251.09",863,"2,294,500","2,659","89,400"
28/10/2022,14.5 ( 0.69 %),"1,184","3,343,900","2,824.24","1,297","3,118,100","2,404","225,800"
27/10/2022,14.4 ( 6.67 %),"1,079","5,349,800","4,958.11","1,137","2,153,100","1,894","3,196,700"
26/10/2022,13.5 ( 1.5 %),"1,103","3,366,900","3,052.49","1,123","2,825,100","2,516","541,800"
25/10/2022,13.3 ( -5.67 %),"1,845","5,141,900","2,786.94","1,402","4,335,600","3,092","806,300"
24/10/2022,14.05 ( -6.95 %),"1,179","2,201,200","1,867.01",843,"3,142,000","3,727","-940,800"
21/10/2022,15.1 ( -6.79 %),"1,646","2,789,700","1,694.84","1,176","3,768,600","3,205","-978,900"
20/10/2022,16.2 ( -2.41 %),"1,162","1,901,600","1,636.49",747,"2,275,500","3,046","-373,900"
19/10/2022,16.55 ( -1.49 %),"1,087","2,449,300","2,253.27",776,"2,350,500","3,029","98,800"
18/10/2022,16.8 ( 1.2 %),"1,251","2,705,200","2,162.43","1,316","2,902,100","2,205","-196,900"
17/10/2022,16.6 ( 0.61 %),"1,360","2,785,300","2,048.01",869,"2,063,100","2,374","722,200"
14/10/2022,16.45 ( 2.81 %),"1,364","3,665,400","2,687.24","1,252","3,397,300","2,713","268,100"
13/10/2022,16 ( 0 %),"1,171","1,588,300","1,356.36","1,107","2,041,300","1,844","-453,000"
12/10/2022,15.95 ( 4.25 %),"1,890","3,852,400","2,038.31","1,298","2,266,700","1,746","1,585,700"
