Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
29/12/2020,23.65 ( -0.84 %),"3,061","6,663,350","2,176.85","2,544","10,088,120","3,965","-3,424,770"
28/12/2020,23.85 ( -0.62 %),"3,282","10,768,160","3,280.98","3,306","14,152,940","4,281","-3,384,780"
25/12/2020,24 ( 3.45 %),"3,265","12,251,690","3,752.43","4,403","9,369,550","2,128","2,882,140"
24/12/2020,23.2 ( -3.33 %),"5,002","11,796,090","2,358.27","4,118","13,644,900","3,313","-1,848,810"
23/12/2020,24 ( -2.44 %),"4,420","9,111,600","2,061.45","2,345","12,613,090","5,379","-3,501,490"
22/12/2020,24.6 ( -1.4 %),0,0,0,0,0,0,0
21/12/2020,24.95 ( 5.27 %),"3,520","10,489,260","2,979.9","4,193","12,141,820","2,896","-1,652,560"
18/12/2020,23.7 ( 4.18 %),"3,427","16,654,090","4,859.67","4,897","15,591,360","3,184","1,062,730"
17/12/2020,22.75 ( 1.56 %),"4,358","13,443,310","3,084.74","3,387","11,680,460","3,449","1,762,850"
16/12/2020,22.4 ( 0.67 %),"2,852","10,923,020","3,829.95","2,432","8,724,060","3,587","2,198,960"
15/12/2020,22.25 ( -0.45 %),"3,232","7,367,860","2,279.66","1,741","11,467,210","6,587","-4,099,350"
14/12/2020,22.35 ( 0.45 %),"2,010","8,084,630","4,022.2","2,151","7,507,280","3,490","577,350"
11/12/2020,22.25 ( 0 %),"1,674","7,297,570","4,359.36","1,874","7,370,110","3,933","-72,540"
10/12/2020,22.25 ( -1.77 %),"2,534","7,998,360","3,156.42","2,335","10,053,190","4,305","-2,054,830"
09/12/2020,22.65 ( 2.03 %),"2,502","9,561,590","3,821.58","3,443","10,699,730","3,108","-1,138,140"
08/12/2020,22.2 ( 1.6 %),0,0,0,0,0,0,0
07/12/2020,21.85 ( 0.69 %),"2,148","6,270,890","2,919.41","2,649","6,271,100","2,367",-210
04/12/2020,21.7 ( -0.46 %),"3,239","8,012,040","2,473.62","2,553","8,871,790","3,475","-859,750"
03/12/2020,21.8 ( -1.13 %),"3,508","8,876,190","2,530.27","3,069","8,901,500","2,900","-25,310"
02/12/2020,22.05 ( -1.12 %),"3,614","10,990,190","3,041","2,371","9,658,710","4,074","1,331,480"
