Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
08/02/2023,20.85 ( 5.3 %),"13,897","60,632,400","4,362.98","13,225","47,830,700","3,617","12,801,700"
07/02/2023,19.75 ( -6.84 %),"30,527","71,573,300","2,344.59","9,729","77,450,100","7,961","-5,876,800"
06/02/2023,21.15 ( 0.24 %),"15,040","44,582,400","2,964.26","6,352","36,261,900","5,709","8,320,500"
03/02/2023,21.1 ( -0.94 %),"14,904","37,109,500","2,489.9","6,525","39,583,600","6,066","-2,474,100"
02/02/2023,21.3 ( 0.95 %),"12,911","49,567,400","3,839.16","10,795","49,462,300","4,582","105,100"
01/02/2023,21.1 ( -4.52 %),"19,949","73,760,700","3,697.46","15,283","87,367,400","5,717","-13,606,700"
31/01/2023,22.1 ( 1.38 %),"11,132","45,362,200","4,074.94","12,029","52,996,100","4,406","-7,633,900"
30/01/2023,21.75 ( 1.16 %),"13,905","61,493,900","4,422.43","13,609","70,808,200","5,203","-9,314,300"
27/01/2023,21.5 ( 1.42 %),"14,588","45,092,300","3,091.05","7,958","40,870,900","5,136","4,221,400"
19/01/2023,21.15 ( -2.53 %),"20,854","69,815,300","3,347.81","9,362","76,608,900","8,183","-6,793,600"
18/01/2023,21.7 ( 0 %),"9,913","43,662,800","4,404.6","12,933","48,146,900","3,723","-4,484,100"
17/01/2023,21.65 ( 6.65 %),"10,278","87,300,700","8,493.94","18,469","56,044,100","3,034","31,256,600"
16/01/2023,20.25 ( 1.25 %),"7,918","49,388,900","6,237.55","11,868","38,189,400","3,218","11,199,500"
13/01/2023,19.95 ( -0.75 %),"7,472","33,648,500","4,503.28","10,512","40,700,100","3,872","-7,051,600"
12/01/2023,20.05 ( -0.74 %),"10,214","36,219,800","3,546.09","9,340","43,851,900","4,695","-7,632,100"
11/01/2023,20.2 ( 2.02 %),"8,638","45,203,200","5,233.06","15,989","58,124,500","3,635","-12,921,300"
10/01/2023,19.8 ( 1.02 %),"10,585","45,944,000","4,340.48","14,104","71,472,600","5,068","-25,528,600"
09/01/2023,19.6 ( 1.03 %),"5,529","27,042,900","4,891.1","12,954","47,452,600","3,663","-20,409,700"
06/01/2023,19.4 ( -2.02 %),"8,861","31,091,900","3,508.85","14,007","50,185,800","3,583","-19,093,900"
05/01/2023,19.8 ( 2.06 %),"6,534","35,699,900","5,463.71","14,857","45,295,300","3,049","-9,595,400"
