Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
31/07/2023,16.35 ( 0.31 %),974,"8,413,500","8,638.09","1,754","20,125,200","11,474","-11,711,700"
28/07/2023,16.3 ( -1.21 %),"1,178","13,022,000","11,054.33","1,871","20,388,600","10,897","-7,366,600"
27/07/2023,16.5 ( 0.61 %),"1,266","14,724,300","11,630.57","2,582","24,204,400","9,374","-9,480,100"
26/07/2023,16.35 ( -0.91 %),"1,061","7,574,200","7,138.74","1,866","14,417,900","7,727","-6,843,700"
25/07/2023,16.5 ( 0.61 %),"1,232","12,821,900","10,407.39","2,994","31,894,700","10,653","-19,072,800"
24/07/2023,16.35 ( 0.31 %),"1,452","14,940,600","10,289.67","2,843","31,571,100","11,105","-16,630,500"
21/07/2023,16.25 ( -0.31 %),"1,115","12,805,800","11,485.02","2,630","17,393,400","6,613","-4,587,600"
20/07/2023,16.25 ( -0.31 %),"1,030","10,862,600","10,546.21","2,630","16,633,700","6,325","-5,771,100"
19/07/2023,16.3 ( 0.62 %),"1,402","17,400,400","12,411.13","4,128","35,275,800","8,545","-17,875,400"
18/07/2023,16.15 ( 0.94 %),"1,182","14,167,400","11,985.96","3,172","28,695,700","9,047","-14,528,300"
17/07/2023,16 ( 1.91 %),"1,807","15,414,700","8,530.55","3,006","26,112,300","8,687","-10,697,600"
14/07/2023,15.65 ( -2.19 %),"4,176","21,863,800","5,235.58","2,778","35,291,300","12,704","-13,427,500"
13/07/2023,16 ( 1.91 %),"2,184","17,914,500","8,202.61","2,753","20,767,800","7,544","-2,853,300"
12/07/2023,15.7 ( -3.09 %),"1,897","18,283,800","9,638.27","3,961","35,862,700","9,054","-17,578,900"
11/07/2023,16.2 ( -0.61 %),"1,249","18,172,000","14,549.24","4,571","35,338,200","7,731","-17,166,200"
10/07/2023,16.3 ( 1.24 %),"1,727","27,960,400","16,190.16","5,505","37,700,300","6,848","-9,739,900"
07/07/2023,16.1 ( 3.87 %),"2,053","26,053,000","12,690.21","5,236","23,085,000","4,409","2,968,000"
06/07/2023,15.5 ( -0.64 %),"1,320","11,575,700","8,769.47","3,226","24,003,900","7,441","-12,428,200"
05/07/2023,15.55 ( 0.32 %),"1,831","17,982,200","9,820.97","4,306","42,186,600","9,797","-24,204,400"
04/07/2023,15.45 ( 0.98 %),"1,230","10,438,100","8,486.26","2,445","17,258,100","7,059","-6,820,000"
