Ngày,Thay đổi,Mua - Số lệnh,Mua - Khối lượng,Mua - KLTB 1 lệnh,Bán - Số lệnh,Bán - Khối lượng,Bán - KLTB 1 lệnh,Khối lượng ròng
22/03/2024,25.05 ( 1.21 %),"15,845","74,844,300","4,723.53","20,042","80,082,300","3,996","-5,238,000"
21/03/2024,24.75 ( 2.48 %),"9,234","58,260,300","6,309.32","13,967","58,259,000","4,171","1,300"
20/03/2024,24.15 ( 4.09 %),"13,890","80,202,000","5,774.08","18,226","70,234,200","3,854","9,967,800"
19/03/2024,23.2 ( 0 %),"8,120","30,870,300","3,801.76","4,676","22,763,200","4,868","8,107,100"
18/03/2024,23.2 ( -2.52 %),"17,541","57,831,200","3,296.92","7,098","55,551,100","7,826","2,280,100"
15/03/2024,23.8 ( 1.49 %),"9,845","49,743,900","5,052.71","6,692","34,604,600","5,171","15,139,300"
14/03/2024,23.45 ( -1.68 %),"8,498","35,555,500","4,183.98","7,909","39,235,400","4,961","-3,679,900"
13/03/2024,23.85 ( 3.25 %),"8,056","40,280,700","5,000.09","6,896","27,431,500","3,978","12,849,200"
12/03/2024,23.1 ( 0.65 %),"13,140","46,022,600","3,502.48","9,449","29,469,400","3,119","16,553,200"
11/03/2024,22.95 ( -2.75 %),"18,227","56,745,200","3,113.25","8,882","51,672,800","5,818","5,072,400"
08/03/2024,23.6 ( -3.28 %),"20,206","77,498,200","3,835.41","10,752","72,570,700","6,750","4,927,500"
07/03/2024,24.4 ( -0.81 %),"8,881","41,363,200","4,657.49","6,773","37,308,600","5,508","4,054,600"
06/03/2024,24.6 ( 0 %),"11,473","53,876,900","4,695.97","10,771","56,843,100","5,277","-2,966,200"
05/03/2024,24.6 ( 1.65 %),"8,284","53,489,700","6,456.99","7,466","35,348,500","4,735","18,141,200"
04/03/2024,24.2 ( 0.83 %),"13,838","64,905,500","4,690.38","8,981","54,693,200","6,090","10,212,300"
01/03/2024,24 ( -0.62 %),"11,578","40,505,300","3,498.47","5,650","36,687,700","6,493","3,817,600"
29/02/2024,24.15 ( -1.02 %),"10,168","45,408,200","4,465.79","7,194","43,734,300","6,079","1,673,900"
28/02/2024,24.4 ( 0.62 %),"6,840","36,054,900","5,271.18","8,913","38,345,200","4,302","-2,290,300"
27/02/2024,24.25 ( 1.04 %),"7,083","44,990,500","6,351.9","7,742","41,893,800","5,411","3,096,700"
26/02/2024,24 ( 0.42 %),"9,146","41,187,100","4,503.29","6,055","37,832,100","6,248","3,355,000"
